Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, 0.000000, 0.707107, 247, 100, 111, 0.069538, 0.900901, 1743.000122, 15.702703, 2.037866
1.000000, 1.000000, 0.630210, 214, 100, 121, 0.055269, 0.826446, 1762.000000, 14.561983, 2.197503
2.000000, 2.000000, 0.561675, 176, 100, 139, 0.039568, 0.719424, 2052.000000, 14.762589, 2.167641
3.000000, 3.000000, 0.500593, 139, 100, 186, 0.023353, 0.537634, 2567.000000, 13.801075, 2.318660
4.000000, 4.000000, 0.446154, 122, 100, 332, 0.011483, 0.301205, 4175.000000, 12.575301, 2.544671
5.000000, 5.000000, 0.397635, 108, 100, 544, 0.006204, 0.183824, 6667.000000, 12.255515, 2.611069
6.000000, 6.000000, 0.354393, 106, 100, 1296, 0.002556, 0.077160, 15539.000000, 11.989969, 2.668898
7.000000, 7.000000, 0.315853, 102, 100, 3729, 0.000855, 0.026817, 44523.000000, 11.939662, 2.680143
8.000000, 8.000000, 0.281504, 101, 100, 17321, 0.000182, 0.005773, 207022.000000, 11.952082, 2.677358
9.000000, 9.000000, 0.250891, 100, 100, 87865, 0.000036, 0.001138, 1056435.000000, 12.023388, 2.661479
