Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -6.020600, 1.414214, 1541, 100, 100, 0.481562, 1.000000, 2751.000000, 27.510000, 1.163213
1.000000, -5.020600, 1.260419, 1605, 100, 100, 0.501562, 1.000000, 2573.000000, 25.730000, 1.243684
2.000000, -4.020600, 1.123350, 1624, 100, 100, 0.507500, 1.000000, 2417.000000, 24.170000, 1.323955
3.000000, -3.020600, 1.001187, 1629, 100, 100, 0.509063, 1.000000, 2409.000000, 24.090000, 1.328352
4.000000, -2.020600, 0.892308, 1605, 100, 100, 0.501562, 1.000000, 2381.000000, 23.809999, 1.343973
5.000000, -1.020600, 0.795271, 1640, 100, 100, 0.512500, 1.000000, 2246.000244, 22.460003, 1.424755
6.000000, -0.020600, 0.708786, 1621, 100, 100, 0.506562, 1.000000, 2180.000000, 21.799999, 1.467890
7.000000, 0.979400, 0.631706, 1563, 100, 100, 0.488438, 1.000000, 2107.000000, 21.070000, 1.518747
8.000000, 1.979400, 0.563009, 1577, 100, 100, 0.492813, 1.000000, 2095.000000, 20.950001, 1.527446
9.000000, 2.979400, 0.501782, 1612, 100, 100, 0.503750, 1.000000, 2091.000000, 20.910000, 1.530368
10.000000, 3.979400, 0.447214, 1556, 100, 100, 0.486250, 1.000000, 2094.000000, 20.940001, 1.528176
