Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -6.020600, 1.414214, 1607, 100, 100, 0.502187, 1.000000, 2848.000000, 28.480000, 1.123595
1.000000, -5.020600, 1.260419, 1553, 100, 100, 0.485312, 1.000000, 2646.000244, 26.460003, 1.209373
2.000000, -4.020600, 1.123350, 1586, 100, 100, 0.495625, 1.000000, 2513.999756, 25.139997, 1.272872
3.000000, -3.020600, 1.001187, 1581, 100, 100, 0.494063, 1.000000, 2510.000244, 25.100002, 1.274900
4.000000, -2.020600, 0.892308, 1602, 100, 100, 0.500625, 1.000000, 2401.000000, 24.010000, 1.332778
5.000000, -1.020600, 0.795271, 1634, 100, 100, 0.510625, 1.000000, 2348.000000, 23.480000, 1.362862
6.000000, -0.020600, 0.708786, 1609, 100, 100, 0.502813, 1.000000, 2249.999756, 22.499998, 1.422222
7.000000, 0.979400, 0.631706, 1591, 100, 100, 0.497187, 1.000000, 2249.999756, 22.499998, 1.422222
8.000000, 1.979400, 0.563009, 1580, 100, 100, 0.493750, 1.000000, 2241.999756, 22.419998, 1.427297
9.000000, 2.979400, 0.501782, 1540, 100, 100, 0.481250, 1.000000, 2252.000000, 22.520000, 1.420959
10.000000, 3.979400, 0.447214, 1590, 100, 100, 0.496875, 1.000000, 2256.000000, 22.559999, 1.418440
