Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.094340,2.000000,6.000000,15.279280,9.745391,1.490566,1.000000,2.000000,85.873421,6.935908,2.660377,2.000000,6.000000,48.113476,12.379279,11.320755,2.000000,11.000000,11.306666,52.677784,0.811321,1.000000,6.000000,157.767441,3.775242,2.084906,2.000000,6.000000,15.348416,9.701492,1.028302,1.000000,6.000000,31.119268,4.784899
1.000000,2.039062,1.000000,3.000000,15.693486,9.996170,1.414062,1.000000,2.000000,90.519341,6.932210,2.445312,1.000000,3.000000,52.345047,11.987744,10.648438,1.000000,9.000000,12.020543,52.202221,0.843750,0.000000,3.000000,151.703705,4.136346,2.046875,1.000000,3.000000,15.633588,10.034470,0.960938,1.000000,3.000000,33.300812,4.710839
2.000000,1.883212,1.000000,2.000000,16.992249,9.900230,1.328467,1.000000,2.000000,96.351646,6.983883,2.270073,1.000000,2.000000,56.385853,11.933998,10.080292,1.000000,8.000000,12.698045,52.993092,0.693431,1.000000,2.000000,184.589478,3.645433,1.883212,1.000000,2.000000,16.992249,9.900230,0.883212,1.000000,2.000000,36.231403,4.643131
3.000000,1.841026,1.000000,2.000000,17.381617,10.070126,1.225641,1.000000,2.000000,104.435150,6.704067,2.133333,1.000000,2.000000,59.999996,11.669004,9.712820,1.000000,9.000000,13.178459,53.127628,0.692308,1.000000,2.000000,184.888885,3.786817,1.861538,1.000000,2.000000,17.190083,10.182328,0.815385,1.000000,2.000000,39.245281,4.460028
4.000000,1.776224,1.000000,5.000000,18.015747,10.019724,1.286713,0.000000,4.000000,99.478264,7.258383,2.115385,1.000000,5.000000,60.509090,11.932939,9.332168,1.000000,10.000000,13.715999,52.642998,0.643357,1.000000,5.000000,198.956528,3.629191,1.811189,1.000000,5.000000,17.667953,10.216963,0.762238,1.000000,5.000000,41.981651,4.299803
5.000000,1.762626,1.000000,2.000000,18.154728,10.143384,1.237374,0.000000,2.000000,103.444901,7.120713,2.072391,1.000000,2.000000,61.764420,11.925983,9.149832,1.000000,9.000000,13.989328,52.654526,0.666667,0.000000,2.000000,192.000000,3.836466,1.742424,1.000000,2.000000,18.365217,10.027127,0.745791,1.000000,2.000000,42.907448,4.291804
6.000000,1.746789,1.000000,2.000000,18.319328,10.078874,1.215596,0.000000,3.000000,105.298111,7.013922,2.075229,1.000000,2.000000,61.679928,11.973956,9.155963,1.000000,9.000000,13.979960,52.829391,0.666055,0.000000,2.000000,192.176315,3.843100,1.724771,1.000000,2.000000,18.553192,9.951829,0.746789,1.000000,2.000000,42.850124,4.308930
7.000000,1.735560,1.000000,4.000000,18.437857,10.027507,1.224278,0.000000,3.000000,104.551422,7.073485,2.073105,1.000000,4.000000,61.743145,11.977734,9.141471,1.000000,9.000000,14.002123,52.816486,0.654106,1.000000,4.000000,195.686783,3.779218,1.730370,1.000000,4.000000,18.493155,9.997523,0.749097,1.000000,4.000000,42.718071,4.328045
8.000000,1.733025,1.000000,4.000000,18.464827,9.991061,1.225015,0.000000,3.000000,104.488541,7.062332,2.077675,1.000000,4.000000,61.607330,11.978004,9.170929,1.000000,10.000000,13.957147,52.871323,0.642416,0.000000,4.000000,199.247772,3.703594,1.749633,1.000000,4.000000,18.289555,10.086807,0.747061,1.000000,4.000000,42.834549,4.306879
9.000000,1.725871,0.000000,6.000000,18.541359,9.963108,1.209948,0.000000,4.000000,105.789703,6.984785,2.066579,0.000000,6.000000,61.938107,11.929947,9.180057,0.000000,10.000000,13.943269,52.994625,0.648816,0.000000,6.000000,197.282288,3.745487,1.733585,0.000000,6.000000,18.458864,10.007636,0.757763,0.000000,6.000000,42.229565,4.374413
