Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -3.010300, 1.000000, 248, 100, 106, 0.073113, 0.943396, 1976.999878, 18.650942, 1.715731
1.000000, -2.010300, 0.891251, 221, 100, 115, 0.060054, 0.869565, 2008.999878, 17.469564, 1.831757
2.000000, -1.010300, 0.794328, 160, 100, 138, 0.036232, 0.724638, 2302.000244, 16.681162, 1.918332
3.000000, -0.010300, 0.707946, 152, 100, 175, 0.027143, 0.571429, 2865.000000, 16.371429, 1.954625
4.000000, 0.989700, 0.630957, 120, 100, 275, 0.013636, 0.363636, 4247.000000, 15.443636, 2.072051
5.000000, 1.989700, 0.562341, 108, 100, 478, 0.007061, 0.209205, 6936.000000, 14.510460, 2.205306
6.000000, 2.989700, 0.501187, 106, 100, 1223, 0.002709, 0.081766, 17669.000000, 14.447261, 2.214953
7.000000, 3.989700, 0.446684, 100, 100, 4093, 0.000763, 0.024432, 59212.000000, 14.466650, 2.211984
8.000000, 4.989700, 0.398107, 100, 100, 17116, 0.000183, 0.005842, 246242.000000, 14.386656, 2.224283
9.000000, 5.989700, 0.354813, 100, 100, 81807, 0.000038, 0.001222, 1175422.000000, 14.368233, 2.227135
