Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.910891,0.000000,5.000000,16.746115,7.813765,1.396040,0.000000,9.000000,91.687943,5.708502,2.871287,0.000000,5.000000,44.579311,11.740891,10.316832,0.000000,10.000000,12.406910,42.186230,0.683168,0.000000,5.000000,187.362320,2.793522,6.277228,0.000000,7.000000,5.097792,25.668016,1.000000,0.000000,5.000000,32.000000,4.089069
1.000000,2.049020,1.000000,5.000000,15.617225,8.167253,1.323529,1.000000,3.000000,96.711113,5.275498,2.862745,1.000000,5.000000,44.712330,11.410707,10.490196,1.000000,10.000000,12.201869,41.813210,0.656863,1.000000,5.000000,194.865677,2.618210,6.607843,1.000000,7.000000,4.842730,26.338413,1.098039,1.000000,5.000000,29.142857,4.376709
2.000000,1.825243,1.000000,3.000000,17.531914,7.895843,1.262136,1.000000,3.000000,101.415390,5.459890,2.728155,1.000000,3.000000,46.918148,11.801764,9.708738,1.000000,11.000000,13.183999,41.999165,0.631068,1.000000,3.000000,202.830780,2.729945,6.009709,1.000000,6.000000,5.324717,25.997480,0.951456,1.000000,3.000000,33.632652,4.115918
3.000000,1.739496,1.000000,3.000000,18.396135,7.867731,1.243698,1.000000,2.000000,102.918915,5.625238,2.605042,1.000000,3.000000,49.135483,11.782593,9.361344,1.000000,9.000000,13.673250,42.341316,0.672269,0.000000,3.000000,190.399994,3.040669,5.647059,1.000000,5.000000,5.666667,25.541618,0.840336,1.000000,3.000000,38.079998,3.800836
4.000000,1.759124,1.000000,4.000000,18.190872,8.014632,1.255474,1.000000,2.000000,101.953491,5.719986,2.613139,1.000000,4.000000,48.983242,11.905554,9.277372,1.000000,9.000000,13.797010,42.268040,0.744526,1.000000,4.000000,171.921570,3.392085,5.459854,1.000000,6.000000,5.860962,24.875290,0.839416,1.000000,4.000000,38.121738,3.824410
5.000000,1.837037,1.000000,4.000000,17.419353,8.452624,1.192593,0.000000,2.000000,107.329193,5.487389,2.525926,1.000000,4.000000,50.674488,11.622358,9.259259,1.000000,10.000000,13.824000,42.603951,0.696296,0.000000,4.000000,183.829788,3.203817,5.385185,1.000000,5.000000,5.942228,24.778461,0.837037,0.000000,4.000000,38.230087,3.851398
6.000000,1.745283,1.000000,4.000000,18.335135,8.147985,1.264151,1.000000,2.000000,101.253731,5.901784,2.608490,1.000000,4.000000,49.070526,12.177935,9.268867,1.000000,8.000000,13.809669,43.272404,0.646226,0.000000,4.000000,198.072998,3.016957,5.094340,1.000000,5.000000,6.281481,23.783310,0.792453,0.000000,4.000000,40.380955,3.699626
7.000000,1.717391,1.000000,3.000000,18.632912,8.123393,1.203804,1.000000,4.000000,106.329567,5.694088,2.565217,1.000000,3.000000,49.898304,12.133677,9.260870,1.000000,10.000000,13.821595,43.804630,0.603261,0.000000,3.000000,212.180176,2.853471,4.980978,1.000000,5.000000,6.424440,23.560411,0.809783,1.000000,3.000000,39.516777,3.830334
8.000000,1.738007,1.000000,10.000000,18.411890,8.273803,1.234932,1.000000,3.000000,103.649406,5.878909,2.549815,1.000000,10.000000,50.199711,12.138424,9.239852,1.000000,10.000000,13.853036,43.986412,0.659287,1.000000,10.000000,194.149246,3.138541,4.830258,1.000000,10.000000,6.624905,22.994497,0.753998,1.000000,10.000000,42.440456,3.589414
9.000000,1.718401,1.000000,4.000000,18.621964,8.243788,1.215168,1.000000,3.000000,105.335274,5.829597,2.540858,1.000000,4.000000,50.376678,12.189412,9.215755,1.000000,10.000000,13.889257,44.211300,0.661964,1.000000,4.000000,193.364136,3.175677,4.707231,1.000000,5.000000,6.798052,22.582283,0.785420,0.000000,4.000000,40.742516,3.767945
10.000000,1.709116,1.000000,5.000000,18.723135,8.271470,1.218163,1.000000,2.000000,105.076218,5.895449,2.533232,1.000000,5.000000,50.528336,12.259881,9.181127,1.000000,8.000000,13.941644,44.433170,0.651446,1.000000,5.000000,196.485977,3.152751,4.596652,1.000000,5.000000,6.961589,22.246050,0.773042,1.000000,5.000000,41.394882,3.741232
