Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 279, 100, 112, 0.077846, 0.892857, 1960.999878, 17.508928, 1.827639
1.000000, 1.000000, 0.630210, 217, 100, 119, 0.056985, 0.840336, 1990.000000, 16.722689, 1.913568
2.000000, 2.000000, 0.561675, 165, 100, 141, 0.036569, 0.709220, 2269.000000, 16.092199, 1.988541
3.000000, 3.000000, 0.500593, 139, 100, 183, 0.023736, 0.546448, 2737.999756, 14.961747, 2.138788
4.000000, 4.000000, 0.446154, 119, 100, 302, 0.012314, 0.331126, 4410.000000, 14.602649, 2.191383
5.000000, 5.000000, 0.397635, 115, 100, 604, 0.005950, 0.165563, 8778.000000, 14.533113, 2.201868
6.000000, 6.000000, 0.354393, 101, 100, 1265, 0.002495, 0.079051, 18428.000000, 14.567589, 2.196657
7.000000, 7.000000, 0.315853, 106, 100, 3827, 0.000866, 0.026130, 55517.000000, 14.506663, 2.205883
8.000000, 8.000000, 0.281504, 100, 100, 17377, 0.000180, 0.005755, 252391.000000, 14.524428, 2.203185
9.000000, 9.000000, 0.250891, 100, 100, 85349, 0.000037, 0.001172, 1238455.000000, 14.510481, 2.205302
