Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 457, 100, 101, 0.141399, 0.990099, 58509.000000, 579.297058, 0.055239
1.000000, -23.082401, 10.083356, 357, 100, 102, 0.109375, 0.980392, 58742.000000, 575.901978, 0.055565
2.000000, -22.082401, 8.986799, 265, 100, 108, 0.076678, 0.925926, 62214.000000, 576.055542, 0.055550
3.000000, -21.082401, 8.009494, 207, 100, 119, 0.054359, 0.840336, 68529.000000, 575.873962, 0.055568
4.000000, -20.082401, 7.138470, 176, 100, 145, 0.037931, 0.689655, 83494.000000, 575.820679, 0.055573
5.000000, -19.082401, 6.362167, 142, 100, 188, 0.023604, 0.531915, 108286.000000, 575.989380, 0.055557
6.000000, -18.082401, 5.670288, 120, 100, 277, 0.013538, 0.361011, 159616.015625, 576.231079, 0.055533
7.000000, -17.082401, 5.053649, 114, 100, 668, 0.005333, 0.149701, 384906.000000, 576.206604, 0.055536
8.000000, -16.082401, 4.504069, 103, 100, 1446, 0.002226, 0.069156, 833251.000000, 576.245483, 0.055532
9.000000, -15.082401, 4.014256, 100, 100, 4277, 0.000731, 0.023381, 2463905.750000, 576.082703, 0.055548
10.000000, -14.082401, 3.577709, 101, 100, 18003, 0.000175, 0.005555, 10368902.000000, 575.954102, 0.055560
11.000000, -13.082401, 3.188637, 100, 100, 99749, 0.000031, 0.001003, 57507212.000000, 576.519165, 0.055506
12.000000, -12.082401, 2.841876, 100, 100, 886328, 0.000004, 0.000113, 510727008.000000, 576.228027, 0.055534
13.000000, -11.082401, 2.532824, 100, 100, 11859154, 0.000000, 0.000008, 6834345472.000000, 576.292847, 0.055527
