Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 426, 100, 104, 0.128005, 0.961538, 69497.007812, 668.240479, 0.047887
1.000000, -23.082401, 10.083356, 371, 100, 102, 0.113664, 0.980392, 64730.000000, 634.607849, 0.050425
2.000000, -22.082401, 8.986799, 271, 100, 107, 0.079147, 0.934579, 67703.000000, 632.738342, 0.050574
3.000000, -21.082401, 8.009494, 211, 100, 120, 0.054948, 0.833333, 75752.000000, 631.266663, 0.050692
4.000000, -20.082401, 7.138470, 172, 100, 135, 0.039815, 0.740741, 85084.000000, 630.251831, 0.050773
5.000000, -19.082401, 6.362167, 135, 100, 167, 0.025262, 0.598802, 104981.000000, 628.628723, 0.050904
6.000000, -18.082401, 5.670288, 120, 100, 301, 0.012458, 0.332226, 188981.000000, 627.843872, 0.050968
7.000000, -17.082401, 5.053649, 112, 100, 673, 0.005201, 0.148588, 421377.031250, 626.117432, 0.051109
8.000000, -16.082401, 4.504069, 104, 100, 1504, 0.002161, 0.066489, 940332.000000, 625.220764, 0.051182
9.000000, -15.082401, 4.014256, 102, 100, 4631, 0.000688, 0.021594, 2892249.000000, 624.540894, 0.051238
10.000000, -14.082401, 3.577709, 101, 100, 20159, 0.000157, 0.004961, 12580781.000000, 624.077637, 0.051276
11.000000, -13.082401, 3.188637, 100, 100, 88775, 0.000035, 0.001126, 55412180.000000, 624.186768, 0.051267
12.000000, -12.082401, 2.841876, 100, 100, 919709, 0.000003, 0.000109, 573856640.000000, 623.954590, 0.051286
13.000000, -11.082401, 2.532824, 100, 100, 11224128, 0.000000, 0.000009, 7010116096.000000, 624.557739, 0.051236
