Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.910891,1.000000,7.000000,16.746115,0.296836,38.148514,37.000000,45.000000,214.739685,5.925960,14.831683,11.000000,48.000000,552.331116,2.303942,516.861389,1.000000,504.000000,15.849510,80.288841,2.663366,1.000000,7.000000,3075.806641,0.413725,68.524750,1.000000,7.000000,0.466985,10.644580,0.811881,0.000000,1.000000,39.414635,0.126117
1.000000,1.735294,1.000000,3.000000,18.440678,0.275718,37.323528,37.000000,40.000000,219.486221,5.930276,14.578431,12.000000,53.000000,561.926025,2.316344,507.117645,1.000000,509.000000,16.154043,80.575111,2.450980,1.000000,3.000000,3342.335938,0.389432,65.392159,1.000000,66.000000,0.489355,10.390056,0.774510,0.000000,1.000000,41.316456,0.123061
2.000000,1.824074,1.000000,4.000000,17.543148,0.290428,37.425926,37.000000,38.000000,218.885696,5.958927,14.342592,12.000000,17.000000,571.165955,2.283617,507.518524,1.000000,508.000000,16.141283,80.806709,2.398148,1.000000,4.000000,3415.969238,0.381831,63.907406,1.000000,64.000000,0.500724,10.175288,0.648148,0.000000,2.000000,49.371429,0.103198
3.000000,1.865546,1.000000,5.000000,17.153152,0.297515,37.394958,37.000000,39.000000,219.066971,5.963709,14.504202,11.000000,18.000000,564.801819,2.313115,507.621857,1.000000,5.000000,16.137997,80.955002,2.512605,1.000000,5.000000,3260.361328,0.400708,62.420170,1.000000,64.000000,0.512655,9.954703,0.722689,0.000000,1.000000,44.279068,0.115254
4.000000,1.813793,1.000000,4.000000,17.642586,0.290034,37.303448,37.000000,40.000000,219.604370,5.964997,14.365518,11.000000,17.000000,570.254456,2.297114,507.551727,1.000000,4.000000,16.140226,81.159912,2.393103,1.000000,4.000000,3423.170166,0.382668,61.179310,1.000000,62.000000,0.523053,9.782860,0.765517,0.000000,1.000000,41.801804,0.122410
5.000000,1.771277,1.000000,4.000000,18.066067,0.283948,37.335106,37.000000,39.000000,219.418152,5.985078,14.265958,11.000000,18.000000,574.234131,2.286933,507.510651,1.000000,509.000000,16.141533,81.357498,2.361702,1.000000,4.000000,3468.684570,0.378597,59.845745,1.000000,60.000000,0.534708,9.593691,0.712766,0.000000,1.000000,44.895523,0.114261
6.000000,1.787004,1.000000,3.000000,17.907070,0.286774,37.386280,37.000000,42.000000,219.117813,5.999652,14.375451,12.000000,17.000000,569.860352,2.306935,507.624542,1.000000,510.000000,16.137911,81.462250,2.451263,1.000000,3.000000,3341.950195,0.393372,58.859207,1.000000,58.000000,0.543670,9.445571,0.657040,0.000000,2.000000,48.703297,0.105440
7.000000,1.805389,1.000000,3.000000,17.724710,0.290455,37.354790,37.000000,39.000000,219.302536,6.009730,14.339820,11.000000,20.000000,571.276367,2.307025,507.136230,1.000000,3.000000,16.153450,81.589325,2.372755,1.000000,3.000000,3452.527344,0.381735,57.887726,1.000000,58.000000,0.552794,9.313119,0.675150,0.000000,1.000000,47.396896,0.108620
8.000000,1.797372,1.000000,5.000000,17.803770,0.289614,37.346474,37.000000,42.000000,219.351364,6.017718,14.328492,11.000000,20.000000,571.727966,2.308781,507.045654,1.000000,512.000000,16.156336,81.701363,2.387275,1.000000,5.000000,3431.527344,0.384667,57.026970,1.000000,57.000000,0.561138,9.188878,0.676349,0.000000,2.000000,47.312881,0.108982
9.000000,1.763853,1.000000,3.000000,18.142099,0.284543,37.349312,37.000000,41.000000,219.334702,6.025153,14.359832,10.000000,20.000000,570.480225,2.316513,507.036255,1.000000,507.000000,16.156635,81.794563,2.382979,1.000000,3.000000,3437.714355,0.384420,56.329670,1.000000,56.000000,0.568084,9.087044,0.667992,0.000000,2.000000,47.904797,0.107760
10.000000,1.778148,1.000000,5.000000,17.996252,0.287120,37.351330,36.000000,42.000000,219.322845,6.031173,14.382380,10.000000,25.000000,569.585815,2.322343,507.049927,1.000000,5.000000,16.156200,81.874069,2.372327,1.000000,5.000000,3453.149902,0.383063,55.704216,1.000000,56.000000,0.574463,8.994638,0.666278,0.000000,2.000000,48.028011,0.107585
11.000000,1.776940,1.000000,11.000000,18.008486,0.287124,37.349808,37.000000,72.000000,219.331787,6.035106,14.373999,9.000000,40.000000,569.917969,2.322598,507.527283,1.000000,505.000000,16.141005,82.007935,2.387402,1.000000,11.000000,3431.344727,0.385764,55.310558,1.000000,11.000000,0.578551,8.937263,0.673811,0.000000,3.000000,47.491043,0.108877
12.000000,1.775423,0.000000,8.000000,18.023876,0.290028,37.182545,36.000000,61.000000,220.318436,6.074044,14.369744,9.000000,48.000000,570.086670,2.347404,510.084473,0.000000,509.000000,16.060085,83.326073,2.377504,0.000000,8.000000,3445.630859,0.388383,55.645233,0.000000,8.000000,0.575072,9.090061,0.672329,0.000000,9.000000,47.595745,0.109830
13.000000,1.768115,0.000000,20.000000,18.098368,0.334559,33.899490,33.000000,74.000000,241.655548,6.414397,15.430169,8.000000,63.000000,530.907959,2.919667,511.861450,0.000000,508.000000,16.004332,96.853455,2.411169,0.000000,20.000000,3397.521729,0.456237,60.926399,0.000000,20.000000,0.525224,11.528378,0.672209,0.000000,14.000000,47.604240,0.127194
