Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 451, 100, 101, 0.139542, 0.990099, 63818.000000, 631.861389, 0.050644
1.000000, -23.082401, 10.083356, 363, 100, 102, 0.111213, 0.980392, 64057.000000, 628.009827, 0.050955
2.000000, -22.082401, 8.986799, 265, 100, 108, 0.076678, 0.925926, 67609.000000, 626.009277, 0.051117
3.000000, -21.082401, 8.009494, 207, 100, 120, 0.053906, 0.833333, 74973.000000, 624.775024, 0.051218
4.000000, -20.082401, 7.138470, 179, 100, 149, 0.037542, 0.671141, 92822.000000, 622.966431, 0.051367
5.000000, -19.082401, 6.362167, 141, 100, 191, 0.023069, 0.523560, 118868.000000, 622.345520, 0.051418
6.000000, -18.082401, 5.670288, 121, 100, 279, 0.013553, 0.358423, 173308.000000, 621.175598, 0.051515
7.000000, -17.082401, 5.053649, 114, 100, 658, 0.005414, 0.151976, 407794.000000, 619.747742, 0.051634
8.000000, -16.082401, 4.504069, 103, 100, 1446, 0.002226, 0.069156, 894660.000000, 618.713684, 0.051720
9.000000, -15.082401, 4.014256, 100, 100, 4277, 0.000731, 0.023381, 2644365.000000, 618.275635, 0.051757
10.000000, -14.082401, 3.577709, 101, 100, 18003, 0.000175, 0.005555, 11117168.000000, 617.517517, 0.051820
11.000000, -13.082401, 3.188637, 100, 100, 99749, 0.000031, 0.001003, 61609172.000000, 617.642029, 0.051810
12.000000, -12.082401, 2.841876, 100, 100, 886328, 0.000004, 0.000113, 547159872.000000, 617.333374, 0.051836
13.000000, -11.082401, 2.532824, 100, 100, 11859154, 0.000000, 0.000008, 7323845632.000000, 617.568970, 0.051816
