Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.891089,1.000000,14.000000,16.921467,0.329560,37.584160,37.000000,46.000000,217.964157,6.549797,14.821782,11.000000,44.000000,552.700073,2.582994,507.722778,1.000000,503.000000,16.134789,88.480919,2.683168,1.000000,14.000000,3053.106934,0.467596,8.425742,1.000000,14.000000,3.797885,1.468355,0.693069,0.000000,1.000000,46.171429,0.120781
1.000000,1.735294,1.000000,2.000000,18.440678,0.303962,37.264706,37.000000,38.000000,219.832672,6.527451,14.284314,11.000000,19.000000,573.496216,2.502104,506.137268,1.000000,506.000000,16.185333,88.657249,2.323529,1.000000,2.000000,3525.670898,0.407000,8.382353,1.000000,9.000000,3.817544,1.468290,0.764706,0.000000,1.000000,41.846153,0.133949
2.000000,1.694444,1.000000,2.000000,18.885246,0.296630,37.370369,37.000000,38.000000,219.211105,6.542071,14.342592,12.000000,19.000000,571.165955,2.510820,506.342590,1.000000,506.000000,16.178770,88.640518,2.361111,1.000000,3.000000,3469.552979,0.413337,8.342592,1.000000,9.000000,3.835738,1.460457,0.777778,0.000000,1.000000,41.142857,0.136158
3.000000,1.773109,1.000000,2.000000,18.047394,0.310522,37.378151,37.000000,38.000000,219.165466,6.545990,14.378151,11.000000,18.000000,569.753357,2.518028,506.159668,1.000000,510.000000,16.184616,88.643120,2.302521,1.000000,3.000000,3557.839355,0.403238,8.327731,1.000000,2.000000,3.842583,1.458425,0.689076,0.000000,1.000000,46.439022,0.120677
4.000000,1.662069,1.000000,2.000000,19.253113,0.291031,37.344826,37.000000,38.000000,219.361038,6.539144,14.537931,12.000000,19.000000,563.491455,2.545617,506.096558,1.000000,508.000000,16.186634,88.618385,2.344828,1.000000,3.000000,3493.646973,0.410583,8.372414,1.000000,9.000000,3.822076,1.466024,0.737931,0.000000,1.000000,43.364487,0.129213
5.000000,1.691489,1.000000,2.000000,18.918240,0.296092,37.303192,37.000000,38.000000,219.605865,6.529856,14.250000,11.000000,19.000000,574.877197,2.494437,506.500000,1.000000,507.000000,16.173742,88.661903,2.377660,1.000000,2.000000,3445.405029,0.416205,8.398936,1.000000,2.000000,3.810006,1.470218,0.750000,0.000000,1.000000,42.666668,0.131286
6.000000,1.729242,1.000000,2.000000,18.505220,0.302525,37.332130,37.000000,38.000000,219.435638,6.531130,14.393502,12.000000,19.000000,569.145691,2.518095,506.711182,1.000000,511.000000,16.167000,88.647408,2.397112,1.000000,3.000000,3417.445801,0.419367,8.361011,1.000000,9.000000,3.827289,1.462731,0.678700,0.000000,1.000000,47.148933,0.118736
7.000000,1.673653,1.000000,4.000000,19.119858,0.292776,37.288921,37.000000,39.000000,219.689911,6.523036,14.387725,11.000000,21.000000,569.374268,2.516878,506.761963,1.000000,4.000000,16.165380,88.649033,2.417665,1.000000,4.000000,3388.393555,0.422928,8.411676,1.000000,4.000000,3.804236,1.471474,0.708084,0.000000,2.000000,45.192390,0.123867
8.000000,1.715076,1.000000,4.000000,18.658064,0.299997,37.316734,37.000000,39.000000,219.526169,6.527345,14.401107,11.000000,21.000000,568.845154,2.519004,506.820892,1.000000,512.000000,16.163502,88.651779,2.383817,1.000000,4.000000,3436.504883,0.416971,8.378284,1.000000,8.000000,3.819398,1.465508,0.682573,0.000000,3.000000,46.881458,0.119394
9.000000,1.706336,1.000000,3.000000,18.753632,0.298544,37.326630,37.000000,40.000000,219.467987,6.530750,14.407763,10.000000,23.000000,568.582397,2.520814,506.662842,1.000000,509.000000,16.168543,88.646851,2.388123,1.000000,3.000000,3430.309814,0.417831,8.379705,1.000000,9.000000,3.818750,1.466132,0.680617,0.000000,1.000000,47.016144,0.119082
10.000000,1.703938,1.000000,3.000000,18.780024,0.298189,37.330833,37.000000,41.000000,219.443268,6.532892,14.393490,9.000000,24.000000,569.146179,2.518859,506.555420,1.000000,3.000000,16.171972,88.647148,2.392601,1.000000,3.000000,3423.888428,0.418705,8.384048,1.000000,8.000000,3.816772,1.467207,0.668555,0.000000,2.000000,47.864407,0.116997
11.000000,1.707716,0.000000,12.000000,18.738476,0.299117,37.335243,36.000000,56.000000,219.417343,6.539508,14.402731,9.000000,110.000000,568.781006,2.522731,507.081909,0.000000,504.000000,16.155182,88.818649,2.396515,0.000000,12.000000,3418.296387,0.419765,8.380666,0.000000,12.000000,3.818312,1.467927,0.672869,0.000000,12.000000,47.557556,0.117857
12.000000,1.702672,0.000000,31.000000,18.793989,0.304455,37.154320,36.000000,50.000000,220.485809,6.643574,14.392619,9.000000,39.000000,569.180603,2.573548,509.770691,0.000000,508.000000,16.069971,91.152245,2.392669,0.000000,31.000000,3423.791016,0.427834,8.378180,0.000000,31.000000,3.819445,1.498105,0.673215,0.000000,8.000000,47.533131,0.120378
13.000000,1.696465,0.000000,16.000000,18.862747,0.325747,33.897087,35.000000,64.000000,241.672684,6.508759,15.439312,8.000000,69.000000,530.593567,2.964584,511.838562,0.000000,506.000000,16.005047,98.280830,2.430017,0.000000,16.000000,3371.169189,0.466600,8.065433,0.000000,16.000000,3.967549,1.548686,0.673723,0.000000,14.000000,47.497284,0.129365
