Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 305, 100, 106, 0.089917, 0.943396, 72625.000000, 685.141479, 0.046706
1.000000, -23.082401, 10.083356, 229, 100, 117, 0.061165, 0.854701, 78049.000000, 667.085449, 0.047970
2.000000, -22.082401, 8.986799, 166, 100, 125, 0.041500, 0.800000, 82308.000000, 658.463989, 0.048598
3.000000, -21.082401, 8.009494, 142, 100, 180, 0.024653, 0.555556, 117231.000000, 651.283325, 0.049134
4.000000, -20.082401, 7.138470, 123, 100, 294, 0.013074, 0.340136, 190432.000000, 647.727905, 0.049403
5.000000, -19.082401, 6.362167, 112, 100, 617, 0.005673, 0.162075, 395926.000000, 641.695312, 0.049868
6.000000, -18.082401, 5.670288, 106, 100, 1239, 0.002674, 0.080710, 789423.000000, 637.145264, 0.050224
7.000000, -17.082401, 5.053649, 103, 100, 4069, 0.000791, 0.024576, 2576475.000000, 633.196106, 0.050537
8.000000, -16.082401, 4.504069, 100, 100, 13533, 0.000231, 0.007389, 8526156.000000, 630.027039, 0.050791
9.000000, -15.082401, 4.014256, 100, 100, 100168, 0.000031, 0.000998, 62850320.000000, 627.449097, 0.051000
10.000000, -14.082401, 3.577709, 100, 100, 864513, 0.000004, 0.000116, 540122624.000000, 624.770996, 0.051219
11.000000, -13.082401, 3.188637, 100, 100, 9861473, 0.000000, 0.000010, 6147371008.000000, 623.372498, 0.051334
