Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.641509,0.000000,1.000000,49.882355,0.094338,37.896225,37.000000,45.000000,216.169296,5.572897,2.358490,2.000000,19.000000,3473.408203,0.346832,515.254700,0.000000,509.000000,15.898933,75.771690,2.660377,0.000000,3.000000,3079.262451,0.391227,120.396225,0.000000,120.000000,0.265789,17.705080,0.801887,0.000000,1.000000,39.905884,0.117923
1.000000,0.675214,0.000000,1.000000,47.392403,0.101928,37.384617,37.000000,38.000000,219.127563,5.643434,2.205128,2.000000,3.000000,3714.976807,0.332877,507.418793,0.000000,1.000000,16.144455,76.597939,2.444444,0.000000,2.000000,3351.272705,0.369004,111.615387,0.000000,1.000000,0.286699,16.849018,0.700855,0.000000,1.000000,45.658535,0.105798
2.000000,0.608000,0.000000,2.000000,52.631580,0.093027,37.352001,37.000000,39.000000,219.318909,5.715021,2.184000,2.000000,4.000000,3750.915771,0.334162,507.287994,0.000000,2.000000,16.148619,77.617294,2.368000,0.000000,2.000000,3459.459473,0.362314,102.991997,0.000000,2.000000,0.310704,15.758227,0.784000,0.000000,1.000000,40.816326,0.119955
3.000000,0.633333,0.000000,1.000000,50.526318,0.097926,37.411110,37.000000,39.000000,218.972382,5.784528,2.227778,2.000000,3.000000,3677.207031,0.344460,506.888885,0.000000,1.000000,16.161333,78.375450,2.438889,0.000000,2.000000,3358.906738,0.377102,96.488892,0.000000,1.000000,0.331644,14.919168,0.655556,0.000000,1.000000,48.813560,0.101362
4.000000,0.605442,0.000000,1.000000,52.853935,0.094156,37.346939,37.000000,40.000000,219.348633,5.808079,2.166667,2.000000,3.000000,3780.922852,0.336953,507.234680,0.000000,507.000000,16.150314,78.883553,2.411565,0.000000,3.000000,3396.964844,0.375039,92.557823,0.000000,1.000000,0.345730,14.394303,0.693878,0.000000,1.000000,46.117645,0.107910
5.000000,0.638574,0.000000,1.000000,50.111675,0.100230,37.345219,37.000000,39.000000,219.358734,5.861673,2.186386,2.000000,3.000000,3746.822998,0.343173,506.752014,0.000000,503.000000,16.165697,79.539352,2.444084,0.000000,2.000000,3351.766846,0.383621,87.056725,0.000000,86.000000,0.367576,13.664348,0.685575,0.000000,1.000000,46.676125,0.107607
6.000000,0.633575,0.000000,3.000000,50.507008,0.100155,37.351089,37.000000,40.000000,219.324265,5.904432,2.205004,2.000000,3.000000,3715.186035,0.348565,506.664246,0.000000,510.000000,16.168499,80.093109,2.418886,0.000000,3.000000,3386.682617,0.382376,82.635193,0.000000,84.000000,0.387244,13.062910,0.686037,0.000000,1.000000,46.644707,0.108448
7.000000,0.618334,0.000000,1.000000,51.751987,0.098364,37.313835,37.000000,44.000000,219.543228,5.935858,2.202015,2.000000,4.000000,3720.228760,0.350295,506.598907,0.000000,519.000000,16.170584,80.589394,2.401819,0.000000,4.000000,3410.749023,0.382080,78.789383,0.000000,88.000000,0.406146,12.533759,0.693045,0.000000,2.000000,46.173050,0.110249
8.000000,0.647380,0.000000,2.000000,49.429974,0.103497,37.348335,36.000000,49.000000,219.340439,5.970875,2.195522,2.000000,6.000000,3731.230957,0.350998,506.862915,0.000000,508.000000,16.162161,81.032127,2.402054,0.000000,2.000000,3410.414062,0.384016,75.377747,0.000000,2.000000,0.424528,12.050632,0.674647,0.000000,3.000000,47.432201,0.107856
9.000000,0.636630,0.000000,11.000000,50.264637,0.102348,37.342606,36.000000,57.000000,219.374084,6.003412,2.195502,1.000000,22.000000,3731.265869,0.352961,507.254883,0.000000,507.000000,16.149672,81.549210,2.408124,0.000000,11.000000,3401.817627,0.387144,72.405113,0.000000,11.000000,0.441958,11.640262,0.677552,0.000000,6.000000,47.228870,0.108927
10.000000,0.636535,0.000000,9.000000,50.272160,0.104289,37.172215,34.000000,61.000000,220.379654,6.090269,2.195668,1.000000,28.000000,3730.983887,0.359737,509.835876,0.000000,509.000000,16.067917,83.531143,2.404964,0.000000,9.000000,3406.287354,0.394028,70.070786,0.000000,69.000000,0.456681,11.480347,0.676708,0.000000,11.000000,47.287739,0.110871
11.000000,0.636649,0.000000,39.000000,50.263206,0.115048,34.302204,0.000000,150.000000,238.818466,6.198736,2.207645,0.000000,77.000000,3710.740723,0.398943,511.833130,0.000000,507.000000,16.005217,92.493141,2.441404,0.000000,39.000000,3355.445801,0.441185,64.797905,0.000000,68.000000,0.493843,11.709601,0.677345,0.000000,56.000000,47.243301,0.122403
