Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 305, 100, 106, 0.089917, 0.943396, 74159.000000, 699.613220, 0.045740
1.000000, -23.082401, 10.083356, 229, 100, 117, 0.061165, 0.854701, 77574.992188, 663.034119, 0.048263
2.000000, -22.082401, 8.986799, 166, 100, 125, 0.041500, 0.800000, 81966.000000, 655.728027, 0.048801
3.000000, -21.082401, 8.009494, 142, 100, 180, 0.024653, 0.555556, 116717.000000, 648.427795, 0.049350
4.000000, -20.082401, 7.138470, 123, 100, 294, 0.013074, 0.340136, 189083.984375, 643.142822, 0.049756
5.000000, -19.082401, 6.362167, 112, 100, 617, 0.005673, 0.162075, 393834.000000, 638.304688, 0.050133
6.000000, -18.082401, 5.670288, 106, 100, 1239, 0.002674, 0.080710, 784987.000000, 633.564941, 0.050508
7.000000, -17.082401, 5.053649, 103, 100, 4069, 0.000791, 0.024576, 2562630.000000, 629.793579, 0.050810
8.000000, -16.082401, 4.504069, 100, 100, 13533, 0.000231, 0.007389, 8476600.000000, 626.365173, 0.051088
9.000000, -15.082401, 4.014256, 100, 100, 100168, 0.000031, 0.000998, 62512152.000000, 624.073059, 0.051276
10.000000, -14.082401, 3.577709, 100, 100, 852456, 0.000004, 0.000117, 529591360.000000, 621.253601, 0.051509
11.000000, -13.082401, 3.188637, 100, 100, 8507456, 0.000000, 0.000012, 5270529536.000000, 619.518860, 0.051653
