Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.660377,0.000000,2.000000,48.457142,0.097990,37.867924,37.000000,45.000000,216.330841,5.619016,2.556604,2.000000,22.000000,3204.250977,0.379361,515.000000,0.000000,509.000000,15.906796,76.418053,2.726415,0.000000,3.000000,3004.678223,0.404558,114.292450,0.000000,2.000000,0.279983,16.959236,0.820755,0.000000,1.000000,38.988506,0.121787
1.000000,0.641026,0.000000,2.000000,49.919998,0.097722,37.333332,37.000000,39.000000,219.428574,5.691353,2.205128,2.000000,3.000000,3714.976807,0.336165,506.905975,0.000000,2.000000,16.160788,77.276276,2.435897,0.000000,2.000000,3363.031738,0.371345,105.641029,0.000000,2.000000,0.302913,16.104654,0.803419,0.000000,1.000000,39.829788,0.122479
2.000000,0.632000,0.000000,1.000000,50.632908,0.097251,37.424000,37.000000,40.000000,218.896973,5.758743,2.256000,2.000000,3.000000,3631.205566,0.347150,507.671997,0.000000,1.000000,16.136404,78.119728,2.408000,0.000000,1.000000,3401.993408,0.370539,98.767998,0.000000,1.000000,0.323992,15.198256,0.704000,0.000000,1.000000,45.454544,0.108330
3.000000,0.650000,0.000000,2.000000,49.230770,0.101010,37.316666,37.000000,40.000000,219.526581,5.799016,2.150000,2.000000,4.000000,3810.232422,0.334110,507.222229,0.000000,510.000000,16.150711,78.822411,2.366667,0.000000,2.000000,3461.408691,0.367780,93.088890,0.000000,92.000000,0.343757,14.466027,0.705556,0.000000,1.000000,45.354332,0.109643
4.000000,0.642857,0.000000,2.000000,49.777779,0.100723,37.370747,37.000000,39.000000,219.208893,5.855237,2.238095,2.000000,4.000000,3660.255127,0.350664,507.666656,0.000000,505.000000,16.136574,79.541046,2.455782,0.000000,3.000000,3335.800537,0.384771,87.180275,0.000000,87.000000,0.367056,13.659377,0.690476,0.000000,1.000000,46.344830,0.108184
5.000000,0.662885,0.000000,1.000000,48.273838,0.104725,37.440842,35.000000,63.000000,218.798508,5.915037,2.230146,1.000000,3.000000,3673.302246,0.352326,506.990265,0.000000,1.000000,16.158102,80.096123,2.423015,0.000000,2.000000,3380.912354,0.382796,82.564018,0.000000,1.000000,0.387578,13.043756,0.666126,0.000000,1.000000,48.038929,0.105237
6.000000,0.626312,0.000000,2.000000,51.092785,0.099561,37.364811,36.000000,54.000000,219.243713,5.939658,2.221146,2.000000,9.000000,3688.186035,0.353082,507.214691,0.000000,508.000000,16.150951,80.628853,2.411622,0.000000,2.000000,3396.883545,0.383361,78.554482,0.000000,80.000000,0.407361,12.487331,0.680387,0.000000,2.000000,47.032028,0.108157
7.000000,0.636520,0.000000,2.000000,50.273357,0.101886,37.353157,37.000000,47.000000,219.312119,5.979021,2.207176,1.000000,4.000000,3711.529785,0.353297,507.038574,0.000000,2.000000,16.156561,81.160316,2.404031,0.000000,3.000000,3407.610596,0.384807,74.414841,0.000000,2.000000,0.430022,11.911386,0.682723,0.000000,8.000000,46.871128,0.109282
8.000000,0.625508,0.000000,4.000000,51.158417,0.100680,37.347374,18.000000,52.000000,219.346085,6.011310,2.209710,0.000000,20.000000,3707.274414,0.355668,506.953674,0.000000,507.000000,16.159267,81.597588,2.408926,0.000000,4.000000,3400.685303,0.387733,71.061478,0.000000,71.000000,0.450314,11.437821,0.678416,0.000000,4.000000,47.168720,0.109196
9.000000,0.625789,0.000000,11.000000,51.135471,0.101361,37.360077,28.000000,130.000000,219.271500,6.051316,2.210486,0.000000,22.000000,3705.971680,0.358039,507.624786,0.000000,509.000000,16.137903,82.221397,2.415532,0.000000,11.000000,3391.385498,0.391250,68.131348,0.000000,69.000000,0.469681,11.035423,0.679688,0.000000,5.000000,47.080418,0.110091
10.000000,0.627112,0.000000,25.000000,51.027603,0.102974,37.202633,0.000000,124.000000,220.199463,6.108779,2.211888,0.000000,104.000000,3703.623535,0.363198,510.018860,0.000000,25.000000,16.062151,83.746559,2.407830,0.000000,25.000000,3402.233887,0.395373,65.363586,0.000000,66.000000,0.489569,10.732888,0.676442,0.000000,55.000000,47.306351,0.111074
11.000000,0.626950,0.000000,49.000000,51.040730,0.115241,34.647228,0.000000,126.000000,236.440277,6.368578,2.205827,0.000000,44.000000,3713.799072,0.405458,511.813507,0.000000,49.000000,16.005831,94.077484,2.414942,0.000000,49.000000,3392.214600,0.443895,64.000938,0.000000,65.000000,0.499993,11.764143,0.674683,0.000000,16.000000,47.429703,0.124015
