Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.613208,0.000000,2.000000,52.184616,0.102248,39.830189,37.000000,52.000000,205.673141,6.641393,2.622642,2.000000,31.000000,3123.568359,0.437306,539.528320,0.000000,510.000000,15.183633,89.962402,2.716981,0.000000,2.000000,3015.111084,0.453037,13.556603,0.000000,13.000000,2.360473,2.260465,0.858491,0.000000,2.000000,37.274723,0.143147
1.000000,0.637931,0.000000,2.000000,50.162163,0.113342,37.431034,37.000000,39.000000,218.855835,6.650432,2.232759,2.000000,3.000000,3669.003906,0.396698,506.612061,0.000000,510.000000,16.170164,90.010574,2.456897,0.000000,3.000000,3334.287842,0.436521,12.793103,0.000000,13.000000,2.501348,2.272971,0.672414,0.000000,1.000000,47.589745,0.119469
2.000000,0.644928,0.000000,1.000000,49.617977,0.114605,37.398552,37.000000,38.000000,219.045914,6.645806,2.289855,2.000000,3.000000,3577.519043,0.406912,506.652161,0.000000,1.000000,16.168884,90.033218,2.362319,0.000000,1.000000,3467.779297,0.419789,12.623188,0.000000,13.000000,2.535017,2.243169,0.768116,0.000000,1.000000,41.660378,0.136496
3.000000,0.612022,0.000000,1.000000,52.285713,0.108735,37.338799,37.000000,38.000000,219.396454,6.633788,2.224044,2.000000,3.000000,3683.381104,0.395134,506.956299,0.000000,511.000000,16.159184,90.068253,2.393443,0.000000,3.000000,3422.684814,0.425230,12.617486,0.000000,13.000000,2.536163,2.241682,0.715847,0.000000,1.000000,44.702290,0.127181
4.000000,0.632258,0.000000,1.000000,50.612244,0.112494,37.335484,36.000000,38.000000,219.415939,6.642867,2.216129,2.000000,3.000000,3696.535645,0.394302,506.148376,0.000000,509.000000,16.184977,90.055786,2.377419,0.000000,2.000000,3445.752930,0.422999,12.612904,0.000000,1.000000,2.537084,2.244134,0.716129,0.000000,1.000000,44.684685,0.127416
5.000000,0.602236,0.000000,1.000000,53.135277,0.107117,37.325878,37.000000,38.000000,219.472397,6.638974,2.183706,2.000000,3.000000,3751.420654,0.388405,506.402557,0.000000,506.000000,16.176853,90.071373,2.407348,0.000000,1.000000,3402.914551,0.428183,12.623003,0.000000,13.000000,2.535054,2.245193,0.678914,0.000000,1.000000,47.134121,0.120755
6.000000,0.650771,0.000000,1.000000,49.172413,0.115725,37.362553,37.000000,39.000000,219.256973,6.644095,2.223001,1.000000,3.000000,3685.107666,0.395311,506.420746,0.000000,1.000000,16.176273,90.055611,2.413745,0.000000,1.000000,3393.896729,0.429231,12.591164,0.000000,12.000000,2.541465,2.239057,0.680224,0.000000,1.000000,47.043297,0.120963
7.000000,0.621220,0.000000,1.000000,51.511581,0.110478,37.341465,36.000000,41.000000,219.380783,6.640801,2.215122,2.000000,3.000000,3698.216309,0.393937,506.456573,0.000000,510.000000,16.175129,90.068161,2.396342,0.000000,2.000000,3418.544434,0.426165,12.590244,0.000000,13.000000,2.541651,2.239047,0.682683,0.000000,2.000000,46.873882,0.121408
8.000000,0.624033,0.000000,3.000000,51.279331,0.110943,37.340023,36.000000,43.000000,219.389267,6.638460,2.212857,1.000000,4.000000,3702.001953,0.393411,506.622040,0.000000,3.000000,16.169846,90.069305,2.404908,0.000000,3.000000,3406.367432,0.427554,12.603027,0.000000,13.000000,2.539073,2.240617,0.673313,0.000000,2.000000,47.526196,0.119704
9.000000,0.632980,0.000000,4.000000,50.554531,0.112794,37.347771,35.000000,53.000000,219.343750,6.655214,2.214909,1.000000,4.000000,3698.572021,0.394687,507.176636,0.000000,509.000000,16.152164,90.376724,2.404565,0.000000,4.000000,3406.852783,0.428483,12.589531,0.000000,13.000000,2.541795,2.243401,0.673224,0.000000,2.000000,47.532463,0.119966
10.000000,0.628785,0.000000,6.000000,50.891773,0.113694,37.188503,35.000000,74.000000,220.283127,6.724254,2.214260,1.000000,24.000000,3699.655273,0.400372,509.620850,0.000000,507.000000,16.074696,92.147293,2.408507,0.000000,6.000000,3401.276611,0.435495,12.595001,0.000000,12.000000,2.540690,2.277370,0.673831,0.000000,8.000000,47.489639,0.121839
11.000000,0.630513,0.000000,28.000000,50.752308,0.121003,34.080200,35.000000,107.000000,240.374176,6.540414,2.222825,0.000000,33.000000,3685.401123,0.426588,511.830627,0.000000,28.000000,16.005295,98.226662,2.448504,0.000000,28.000000,3345.715820,0.469898,14.035789,0.000000,28.000000,2.279886,2.693642,0.674316,0.000000,17.000000,47.455524,0.129410
