Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 3707, 100, 100, 0.144805, 1.000000, 12532, 125.320000, 2.042771
1.000000, -5.020600, 1.260419, 2971, 100, 100, 0.116055, 1.000000, 10214, 102.139999, 2.506364
2.000000, -4.020600, 1.123350, 2349, 100, 100, 0.091758, 1.000000, 9736, 97.360001, 2.629417
3.000000, -3.020600, 1.001187, 1682, 100, 100, 0.065703, 1.000000, 9703, 97.029999, 2.638359
4.000000, -2.020600, 0.892308, 1192, 100, 100, 0.046563, 1.000000, 9667, 96.669998, 2.648185
5.000000, -1.020600, 0.795271, 723, 100, 100, 0.028242, 1.000000, 9682, 96.820000, 2.644082
6.000000, -0.020600, 0.708786, 458, 100, 102, 0.017540, 0.980392, 9910, 97.156860, 2.634914
7.000000, 0.979400, 0.631706, 284, 100, 104, 0.010667, 0.961538, 10556, 101.500000, 2.522167
8.000000, 1.979400, 0.563009, 157, 100, 154, 0.003982, 0.649351, 15400, 100.000000, 2.560000
9.000000, 2.979400, 0.501782, 118, 100, 272, 0.001695, 0.367647, 27718, 101.904411, 2.512158
10.000000, 3.979400, 0.447214, 102, 100, 829, 0.000481, 0.120627, 86287, 104.085648, 2.459513
11.000000, 4.979400, 0.398580, 101, 100, 3710, 0.000106, 0.026954, 391347, 105.484367, 2.426900
12.000000, 5.979400, 0.355234, 100, 100, 22003, 0.000018, 0.004545, 2317372, 105.320732, 2.430670
13.000000, 6.979400, 0.316603, 100, 100, 201273, 0.000002, 0.000497, 21007622, 104.373772, 2.452724
14.000000, 7.979400, 0.282173, 100, 100, 4047753, 0.000000, 0.000025, 418890674, 103.487213, 2.473736
