Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.910000,9.000000,21.000000,23.464712,10.930769,6.090000,5.000000,12.000000,168.144501,6.101593,5.640000,3.000000,8.000000,181.560287,5.650736,73.059998,9.000000,21.000000,14.015878,73.199081,0.960000,9.000000,21.000000,1066.666748,0.961828,0.870000,1.000000,21.000000,294.252869,0.871656,2.280000,1.000000,3.000000,112.280701,2.284340
1.000000,9.610000,9.000000,11.000000,26.638918,10.884584,5.360000,5.000000,14.000000,191.044769,6.070903,5.030000,4.000000,7.000000,203.578522,5.697134,64.760002,9.000000,65.000000,15.812229,73.349190,0.920000,0.000000,11.000000,1113.043457,1.042021,0.780000,9.000000,11.000000,328.205139,0.883452,1.830000,1.000000,3.000000,139.890701,2.072715
2.000000,9.530000,9.000000,10.000000,26.862539,11.005890,5.210000,5.000000,6.000000,196.545105,6.016861,4.920000,4.000000,6.000000,208.130081,5.681950,63.759998,9.000000,66.000000,16.060226,73.634369,0.780000,9.000000,10.000000,1312.820557,0.900797,0.700000,9.000000,10.000000,365.714294,0.808407,1.690000,1.000000,2.000000,151.479279,1.951727
3.000000,9.490000,9.000000,11.000000,26.975765,10.939482,5.170000,5.000000,6.000000,198.065765,5.959654,5.000000,4.000000,6.000000,204.800003,5.763689,64.000000,9.000000,64.000000,16.000000,73.775215,0.850000,1.000000,11.000000,1204.705811,0.979827,0.810000,9.000000,11.000000,316.049377,0.933718,1.430000,1.000000,2.000000,179.020981,1.648415
4.000000,9.490000,9.000000,10.000000,26.975765,10.972367,5.230000,5.000000,6.000000,195.793503,6.046942,4.970000,4.000000,7.000000,206.036224,5.746329,63.889999,9.000000,10.000000,16.027548,73.869812,0.810000,1.000000,10.000000,1264.197510,0.936524,0.790000,1.000000,10.000000,324.050629,0.913400,1.310000,1.000000,2.000000,195.419861,1.514626
5.000000,9.380000,9.000000,10.000000,27.292110,10.887986,5.160000,5.000000,6.000000,198.449615,5.989553,4.930000,4.000000,6.000000,207.707916,5.722577,63.980000,9.000000,64.000000,16.005001,74.265816,0.820000,0.000000,10.000000,1248.780518,0.951828,0.700000,1.000000,10.000000,365.714294,0.812536,1.180000,1.000000,2.000000,216.949158,1.369704
6.000000,9.519608,9.000000,11.000000,26.891865,11.040364,5.235294,5.000000,6.000000,195.595505,6.071632,5.009804,4.000000,7.000000,204.399216,5.810120,63.774509,9.000000,11.000000,16.056572,73.962486,0.833333,1.000000,11.000000,1228.800049,0.966458,0.764706,1.000000,11.000000,334.769226,0.886868,1.088235,0.000000,2.000000,235.243256,1.262081
7.000000,9.490385,9.000000,10.000000,26.974670,10.991092,5.221154,5.000000,6.000000,196.125229,6.046770,4.826923,4.000000,6.000000,212.143433,5.590200,64.125000,9.000000,10.000000,15.968811,74.265038,0.826923,1.000000,10.000000,1238.325562,0.957684,0.798077,1.000000,10.000000,320.771088,0.924276,1.057692,0.000000,2.000000,242.036362,1.224944
8.000000,9.512987,9.000000,10.000000,26.910580,11.044102,5.220779,5.000000,6.000000,196.139297,6.061063,4.967533,4.000000,6.000000,206.138550,5.767056,63.928570,9.000000,66.000000,16.017878,74.217865,0.805195,9.000000,10.000000,1271.741943,0.934791,0.707792,0.000000,10.000000,361.688080,0.821711,0.993506,0.000000,2.000000,257.673218,1.153411
9.000000,9.518382,9.000000,10.000000,26.895327,11.071198,5.161765,5.000000,6.000000,198.381775,6.003849,4.908088,4.000000,7.000000,208.635208,5.708787,63.900734,9.000000,62.000000,16.024855,74.325417,0.849265,9.000000,10.000000,1205.748901,0.987813,0.698529,1.000000,10.000000,366.484192,0.812487,0.937500,0.000000,2.000000,273.066681,1.090443
10.000000,9.500603,9.000000,11.000000,26.945660,11.047368,5.230398,5.000000,6.000000,195.778595,6.081944,4.857660,4.000000,7.000000,210.801086,5.648521,63.917973,9.000000,64.000000,16.020533,74.324265,0.846803,0.000000,11.000000,1209.253540,0.984669,0.723764,9.000000,11.000000,353.706665,0.841597,0.921592,0.000000,2.000000,277.780090,1.071634
11.000000,9.537736,9.000000,13.000000,26.840752,11.083617,5.243666,4.000000,7.000000,195.283234,6.093562,4.775741,4.000000,7.000000,214.416977,5.549796,64.010246,9.000000,62.000000,15.997438,74.385056,0.824798,0.000000,13.000000,1241.516357,0.958482,0.740970,0.000000,13.000000,345.492889,0.861067,0.919407,0.000000,2.000000,278.440338,1.068425
12.000000,9.519293,9.000000,28.000000,26.892754,11.077773,5.230469,5.000000,11.000000,195.775955,6.086791,4.745399,3.000000,10.000000,215.787994,5.522306,63.967049,9.000000,65.000000,16.008242,74.439613,0.825433,9.000000,28.000000,1240.561157,0.960571,0.724356,9.000000,28.000000,353.417511,0.842946,0.919466,0.000000,2.000000,278.422607,1.069999
13.000000,9.506203,8.000000,32.000000,26.929785,11.078468,5.221828,4.000000,12.000000,196.099915,6.085485,4.757275,3.000000,21.000000,215.249268,5.544098,63.944157,8.000000,32.000000,16.013973,74.520111,0.831587,1.000000,32.000000,1231.380493,0.969126,0.727837,8.000000,32.000000,351.726959,0.848217,0.920615,0.000000,3.000000,278.074890,1.072879
