Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 2052, 100, 100, 0.080156, 1.000000, 11195, 111.949997, 2.286735
1.000000, -5.020600, 1.260419, 1465, 100, 100, 0.057227, 1.000000, 9883, 98.830002, 2.590307
2.000000, -4.020600, 1.123350, 989, 100, 100, 0.038633, 1.000000, 9694, 96.940002, 2.640809
3.000000, -3.020600, 1.001187, 576, 100, 100, 0.022500, 1.000000, 9647, 96.470001, 2.653675
4.000000, -2.020600, 0.892308, 343, 100, 103, 0.013008, 0.970874, 9897, 96.087379, 2.664242
5.000000, -1.020600, 0.795271, 187, 100, 136, 0.005371, 0.735294, 13114, 96.426468, 2.654873
6.000000, -0.020600, 0.708786, 138, 100, 199, 0.002709, 0.502513, 19254, 96.753769, 2.645892
7.000000, 0.979400, 0.631706, 110, 100, 546, 0.000787, 0.183150, 53489, 97.965202, 2.613173
8.000000, 1.979400, 0.563009, 104, 100, 2233, 0.000182, 0.044783, 222428, 99.609497, 2.570036
9.000000, 2.979400, 0.501782, 100, 100, 11398, 0.000034, 0.008773, 1160359, 101.803734, 2.514642
10.000000, 3.979400, 0.447214, 100, 100, 87527, 0.000004, 0.001143, 9095613, 103.917793, 2.463486
11.000000, 4.979400, 0.398580, 100, 100, 926886, 0.000000, 0.000108, 97266686, 104.939217, 2.439507
