Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,11.160000,10.000000,15.000000,22.939068,14.166032,4.680000,4.000000,5.000000,164.102570,5.940594,4.960000,4.000000,7.000000,154.838715,6.296014,54.660000,10.000000,50.000000,14.050494,69.383095,0.840000,10.000000,15.000000,914.285767,1.066260,0.730000,10.000000,15.000000,350.684937,0.926631,1.750000,1.000000,2.000000,146.285721,2.221376
1.000000,10.170000,9.000000,11.000000,25.172075,14.170267,4.210000,4.000000,5.000000,182.422806,5.865961,4.500000,4.000000,6.000000,170.666672,6.270030,50.060001,9.000000,48.000000,15.341590,69.750595,0.730000,9.000000,11.000000,1052.054810,1.017138,0.710000,0.000000,11.000000,360.563385,0.989271,1.390000,1.000000,2.000000,184.172668,1.936742
2.000000,9.830000,9.000000,10.000000,26.042727,14.209309,4.150000,4.000000,5.000000,185.060242,5.998844,4.320000,3.000000,6.000000,177.777771,6.244580,48.049999,9.000000,48.000000,15.983351,69.456490,0.810000,1.000000,10.000000,948.148132,1.170859,0.730000,9.000000,10.000000,350.684937,1.055218,1.290000,1.000000,2.000000,198.449615,1.864701
3.000000,9.820000,9.000000,10.000000,26.069248,14.203067,4.020000,4.000000,5.000000,191.044785,5.814290,4.280000,3.000000,5.000000,179.439240,6.190339,48.369999,9.000000,49.000000,15.877610,69.959503,0.760000,0.000000,10.000000,1010.526306,1.099219,0.750000,9.000000,10.000000,341.333344,1.084756,1.140000,1.000000,2.000000,224.561401,1.648829
4.000000,9.850468,9.000000,14.000000,25.988613,14.320652,4.084112,4.000000,5.000000,188.045761,5.937500,4.261682,3.000000,5.000000,180.210541,6.195652,48.074768,9.000000,14.000000,15.975116,69.891304,0.775701,9.000000,14.000000,990.072327,1.127717,0.691589,9.000000,14.000000,370.162170,1.005435,1.046729,0.000000,2.000000,244.571426,1.521739
5.000000,9.770492,9.000000,10.000000,26.201344,14.222645,4.106557,4.000000,5.000000,187.017960,5.977807,4.344262,3.000000,6.000000,176.784912,6.323827,48.032787,9.000000,48.000000,15.989079,69.920059,0.770492,0.000000,10.000000,996.765991,1.121585,0.680328,9.000000,10.000000,376.289154,0.990335,0.991803,0.000000,2.000000,258.115692,1.443742
6.000000,9.841122,9.000000,10.000000,26.013294,14.316792,4.065421,4.000000,5.000000,188.910339,5.914344,4.299066,3.000000,6.000000,178.643478,6.254249,48.042057,9.000000,10.000000,15.985993,69.891228,0.827103,9.000000,10.000000,928.542419,1.203263,0.714953,1.000000,10.000000,358.065369,1.040109,0.948598,0.000000,2.000000,269.871918,1.380014
7.000000,9.791907,9.000000,11.000000,26.144039,14.271873,4.088151,4.000000,5.000000,187.860016,5.958550,4.270231,3.000000,6.000000,179.849747,6.223936,48.062138,9.000000,11.000000,15.979314,70.051392,0.760116,0.000000,11.000000,1010.372620,1.107882,0.695087,9.000000,11.000000,368.299377,1.013101,0.942197,0.000000,3.000000,271.705505,1.373268
8.000000,9.814472,9.000000,11.000000,26.083929,14.292620,4.083243,4.000000,12.000000,188.085800,5.946345,4.244287,3.000000,10.000000,180.949097,6.180871,48.101196,9.000000,11.000000,15.966339,70.048813,0.780196,0.000000,11.000000,984.368164,1.136184,0.715996,9.000000,11.000000,357.544067,1.042690,0.928727,0.000000,2.000000,275.646179,1.352486
9.000000,9.814115,9.000000,15.000000,26.084881,14.301429,4.080575,3.000000,6.000000,188.208771,5.946339,4.185340,3.000000,6.000000,183.497635,6.099006,48.130047,9.000000,15.000000,15.956768,70.136581,0.780375,1.000000,15.000000,984.142639,1.137186,0.712987,0.000000,15.000000,359.053070,1.038986,0.919880,0.000000,2.000000,278.297180,1.340477
10.000000,9.814553,9.000000,27.000000,26.083714,14.309700,4.077738,3.000000,8.000000,188.339722,5.945375,4.152255,3.000000,13.000000,184.959763,6.054022,48.126171,9.000000,48.000000,15.958054,70.168358,0.777566,9.000000,27.000000,987.697388,1.133698,0.718074,1.000000,27.000000,356.509308,1.046958,0.920357,0.000000,3.000000,278.152985,1.341888
11.000000,9.798177,8.000000,16.000000,26.127310,14.624291,4.073081,3.000000,20.000000,188.555023,6.079287,4.116158,2.000000,11.000000,186.581787,6.143580,48.093624,8.000000,16.000000,15.968853,71.782249,0.779456,8.000000,16.000000,985.302673,1.163379,0.715026,8.000000,16.000000,358.029053,1.067213,0.919272,0.000000,7.000000,278.481171,1.372062
