Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.038835,1.000000,7.000000,15.695237,11.290323,1.495146,1.000000,2.000000,85.610390,8.279571,1.660194,1.000000,3.000000,77.099419,9.193548,10.281553,1.000000,7.000000,12.449481,56.935482,0.805825,1.000000,7.000000,158.843369,4.462365,0.844660,1.000000,7.000000,37.885056,4.677419,0.932039,0.000000,1.000000,34.333332,5.161291
1.000000,1.956140,1.000000,3.000000,16.358744,11.706038,1.350877,1.000000,2.000000,94.753250,8.083990,1.421053,1.000000,5.000000,90.074081,8.503937,9.622807,1.000000,3.000000,13.301733,57.585300,0.780702,1.000000,3.000000,163.955063,4.671916,0.754386,1.000000,3.000000,42.418606,4.514436,0.824561,0.000000,1.000000,38.808510,4.934383
2.000000,1.914062,1.000000,3.000000,16.718367,11.605874,1.421875,1.000000,2.000000,90.021980,8.621507,1.421875,1.000000,2.000000,90.021980,8.621507,9.531250,1.000000,11.000000,13.429508,57.792515,0.703125,1.000000,3.000000,182.044449,4.263382,0.703125,1.000000,3.000000,45.511112,4.263382,0.796875,0.000000,1.000000,40.156864,4.831833
3.000000,1.855491,1.000000,2.000000,17.246107,11.622013,1.312139,0.000000,2.000000,97.550667,8.218682,1.410405,1.000000,2.000000,90.754097,8.834179,9.219653,1.000000,10.000000,13.883386,57.748009,0.710983,1.000000,2.000000,180.032516,4.453295,0.757225,0.000000,2.000000,42.259541,4.742940,0.699422,0.000000,1.000000,45.752068,4.380883
4.000000,1.723247,1.000000,2.000000,18.569593,11.479842,1.232472,1.000000,2.000000,103.856293,8.210423,1.287823,1.000000,2.000000,99.392555,8.579154,8.690037,1.000000,9.000000,14.729512,57.890854,0.704797,0.000000,2.000000,181.612564,4.695182,0.645756,1.000000,2.000000,49.554283,4.301868,0.726937,0.000000,1.000000,44.020302,4.842674
5.000000,1.713604,1.000000,2.000000,18.674095,11.659630,1.188544,1.000000,2.000000,107.694778,8.087041,1.200477,1.000000,2.000000,106.624252,8.168237,8.587112,1.000000,9.000000,14.906058,58.428062,0.649165,1.000000,2.000000,197.176468,4.417018,0.639618,1.000000,2.000000,50.029850,4.352062,0.718377,0.000000,1.000000,44.544849,4.887950
6.000000,1.714689,1.000000,2.000000,18.662273,11.566312,1.223164,1.000000,2.000000,104.646652,8.250762,1.257062,1.000000,2.000000,101.824715,8.479422,8.590396,1.000000,9.000000,14.900361,57.945889,0.661017,0.000000,2.000000,193.641022,4.458841,0.676554,1.000000,2.000000,47.298538,4.563643,0.701977,0.000000,1.000000,45.585514,4.735137
7.000000,1.708017,1.000000,4.000000,18.735172,11.626964,1.187974,0.000000,2.000000,107.746468,8.086879,1.208017,1.000000,4.000000,105.958740,8.223320,8.590466,1.000000,10.000000,14.900240,58.477764,0.656555,1.000000,4.000000,194.957092,4.469356,0.652763,1.000000,4.000000,49.022408,4.443543,0.686349,0.000000,1.000000,46.623520,4.672174
8.000000,1.711027,1.000000,4.000000,18.702213,11.610412,1.207061,0.000000,4.000000,106.042717,8.190677,1.208449,1.000000,2.000000,105.920898,8.200097,8.606902,1.000000,4.000000,14.871785,58.403316,0.652717,0.000000,4.000000,196.103317,4.429102,0.666799,1.000000,4.000000,47.990482,4.524655,0.684054,0.000000,2.000000,46.779934,4.641742
9.000000,1.715963,1.000000,4.000000,18.648418,11.646728,1.205130,0.000000,4.000000,106.212608,8.179559,1.203942,0.000000,3.000000,106.317429,8.171494,8.597078,1.000000,9.000000,14.888779,58.350803,0.660679,1.000000,4.000000,193.739975,4.484218,0.668437,0.000000,4.000000,47.872856,4.536873,0.682206,0.000000,3.000000,46.906670,4.630323
10.000000,1.721602,0.000000,5.000000,18.587336,11.674460,1.207000,0.000000,4.000000,106.048080,8.184857,1.210195,0.000000,4.000000,105.768051,8.206528,8.609652,0.000000,5.000000,14.867036,58.383423,0.661261,0.000000,5.000000,193.569611,4.484115,0.661329,0.000000,5.000000,48.387398,4.484579,0.675701,0.000000,4.000000,47.358219,4.582037
11.000000,1.720724,0.000000,5.000000,18.596819,11.663490,1.210475,0.000000,4.000000,105.743637,8.204893,1.211341,0.000000,4.000000,105.668007,8.210766,8.612893,0.000000,5.000000,14.861441,58.380291,0.660703,0.000000,5.000000,193.733002,4.478407,0.662884,0.000000,5.000000,48.273914,4.493189,0.674063,0.000000,4.000000,47.473309,4.568964
