Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 267, 100, 107, 0.077979, 0.934579, 2225, 20.794392, 1.538876
1.000000, 1.000000, 0.630210, 200, 100, 112, 0.055804, 0.892857, 1697, 15.151786, 2.111962
2.000000, 2.000000, 0.561675, 184, 100, 140, 0.041071, 0.714286, 2108, 15.057143, 2.125237
3.000000, 3.000000, 0.500593, 139, 100, 203, 0.021398, 0.492611, 3447, 16.980295, 1.884537
4.000000, 4.000000, 0.446154, 117, 100, 306, 0.011949, 0.326797, 4368, 14.274509, 2.241758
5.000000, 5.000000, 0.397635, 109, 100, 588, 0.005793, 0.170068, 7728, 13.142858, 2.434783
6.000000, 6.000000, 0.354393, 105, 100, 1457, 0.002252, 0.068634, 19170, 13.157172, 2.432133
7.000000, 7.000000, 0.315853, 101, 100, 3606, 0.000875, 0.027732, 47397, 13.143927, 2.434584
8.000000, 8.000000, 0.281504, 102, 100, 19338, 0.000165, 0.005171, 253853, 13.127159, 2.437694
9.000000, 9.000000, 0.250891, 100, 100, 96890, 0.000032, 0.001032, 1268698, 13.094210, 2.443828
10.000000, 10.000000, 0.223607, 100, 100, 750837, 0.000004, 0.000133, 9882641, 13.162166, 2.431211
11.000000, 11.000000, 0.199290, 100, 100, 9288875, 0.000000, 0.000011, 120847123, 13.009877, 2.459670
