Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.500000,9.000000,19.000000,24.380953,10.329562,5.850000,5.000000,7.000000,175.042740,5.755042,5.570000,4.000000,8.000000,183.842010,5.479587,72.300003,9.000000,19.000000,14.163208,71.126419,0.930000,1.000000,19.000000,1101.075317,0.914904,4.830000,9.000000,19.000000,53.002071,4.751598,1.670000,1.000000,3.000000,153.293411,1.642892
1.000000,9.360000,9.000000,13.000000,27.350428,10.147441,5.410000,5.000000,6.000000,189.279114,5.865135,5.100000,4.000000,7.000000,200.784317,5.529055,65.730003,9.000000,13.000000,15.578882,71.259766,0.840000,1.000000,13.000000,1219.047607,0.910668,4.380000,4.000000,13.000000,58.447487,4.748482,1.420000,1.000000,3.000000,180.281693,1.539462
2.000000,9.150000,9.000000,11.000000,27.978144,10.210914,5.220000,5.000000,6.000000,196.168594,5.825243,4.870000,4.000000,7.000000,210.266953,5.434661,64.010002,9.000000,65.000000,15.997499,71.431763,0.850000,1.000000,11.000000,1204.705811,0.948555,4.250000,9.000000,11.000000,60.235294,4.742774,1.260000,1.000000,2.000000,203.174606,1.406093
3.000000,9.150000,9.000000,12.000000,27.978144,10.209774,5.300000,5.000000,7.000000,193.207535,5.913858,4.880000,4.000000,6.000000,209.836060,5.445213,64.199997,9.000000,64.000000,15.950156,71.635788,0.730000,1.000000,12.000000,1402.739746,0.814550,4.190000,4.000000,12.000000,61.097851,4.675295,1.170000,1.000000,2.000000,218.803421,1.305512
4.000000,9.215686,9.000000,11.000000,27.778725,10.319464,5.117647,5.000000,6.000000,200.091949,5.730596,4.882353,4.000000,6.000000,209.734940,5.467120,63.941177,9.000000,63.000000,16.014719,71.599518,0.911765,0.000000,11.000000,1123.096802,1.020968,4.225490,9.000000,11.000000,60.584690,4.731584,1.009804,0.000000,2.000000,253.514572,1.130750
5.000000,9.156716,9.000000,11.000000,27.957621,10.250626,5.231343,5.000000,6.000000,195.743225,5.856308,4.820896,4.000000,6.000000,212.408661,5.396825,64.097015,9.000000,64.000000,15.975782,71.754387,0.873134,1.000000,11.000000,1172.786377,0.977444,4.164179,9.000000,11.000000,61.476700,4.661654,0.985075,0.000000,2.000000,259.878784,1.102757
6.000000,9.112245,9.000000,12.000000,28.094067,10.210382,5.219388,5.000000,6.000000,196.191605,5.848388,4.816327,4.000000,7.000000,212.610168,5.396753,64.112244,9.000000,62.000000,15.971989,71.838554,0.826531,9.000000,12.000000,1238.913574,0.926138,4.209184,5.000000,12.000000,60.819393,4.716442,0.948980,0.000000,2.000000,269.763428,1.063343
7.000000,9.126582,9.000000,11.000000,28.049931,10.215565,5.271248,5.000000,7.000000,194.261398,5.900212,4.916817,4.000000,6.000000,208.264816,5.503491,64.030739,9.000000,11.000000,15.992319,71.670876,0.831826,9.000000,11.000000,1231.026123,0.931080,4.206148,4.000000,11.000000,60.863285,4.708025,0.956600,0.000000,2.000000,267.614380,1.070742
8.000000,9.145203,9.000000,29.000000,27.992819,10.253756,5.231400,5.000000,7.000000,195.741089,5.865535,4.895844,4.000000,21.000000,209.156998,5.489303,63.990765,9.000000,64.000000,16.002310,71.747528,0.830169,9.000000,29.000000,1233.483276,0.930800,4.172909,5.000000,29.000000,61.348087,4.678736,0.922524,0.000000,3.000000,277.499451,1.034350
9.000000,9.128281,8.000000,20.000000,28.044712,10.240499,5.224902,4.000000,9.000000,195.984543,5.861520,4.884432,3.000000,18.000000,209.645645,5.479567,63.968666,8.000000,20.000000,16.007837,71.762810,0.834154,1.000000,20.000000,1227.591797,0.935789,4.178068,4.000000,20.000000,61.272343,4.687137,0.920522,0.000000,4.000000,278.103180,1.032681
10.000000,9.130273,8.000000,30.000000,28.038593,10.239562,5.228356,2.000000,22.000000,195.855057,5.863579,4.881459,3.000000,17.000000,209.773361,5.474535,63.999317,8.000000,30.000000,16.000172,71.774963,0.830275,8.000000,30.000000,1233.326172,0.931150,4.174722,8.000000,30.000000,61.321445,4.681933,0.922229,0.000000,7.000000,277.588470,1.034275
11.000000,9.106021,4.000000,84.000000,28.113268,10.309845,5.215325,1.000000,22.000000,196.344421,5.904796,4.869249,1.000000,22.000000,210.299362,5.512969,64.026115,4.000000,84.000000,15.993474,72.490425,0.832228,1.000000,84.000000,1230.432617,0.942249,4.164636,4.000000,84.000000,61.469955,4.715205,0.919626,0.000000,16.000000,278.374023,1.041201
