Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 2084, 100, 100, 0.081406, 1.000000, 5414, 54.139999, 4.728482
1.000000, 1.000000, 0.630210, 1446, 100, 100, 0.056484, 1.000000, 4615, 46.150002, 5.547129
2.000000, 2.000000, 0.561675, 965, 100, 100, 0.037695, 1.000000, 4204, 42.040001, 6.089438
3.000000, 3.000000, 0.500593, 589, 100, 100, 0.023008, 1.000000, 3989, 39.889999, 6.417648
4.000000, 4.000000, 0.446154, 360, 100, 103, 0.013653, 0.970874, 4105, 39.854370, 6.423386
5.000000, 5.000000, 0.397635, 210, 100, 127, 0.006459, 0.787402, 5008, 39.433071, 6.492013
6.000000, 6.000000, 0.354393, 127, 100, 205, 0.002420, 0.487805, 8053, 39.282928, 6.516826
7.000000, 7.000000, 0.315853, 111, 100, 509, 0.000852, 0.196464, 20009, 39.310413, 6.512269
8.000000, 8.000000, 0.281504, 102, 100, 2230, 0.000179, 0.044843, 87685, 39.320629, 6.510578
9.000000, 9.000000, 0.250891, 100, 100, 12469, 0.000031, 0.008020, 490143, 39.308926, 6.512516
10.000000, 10.000000, 0.223607, 100, 100, 102427, 0.000004, 0.000976, 4025573, 39.301872, 6.513684
11.000000, 11.000000, 0.199290, 100, 100, 1390899, 0.000000, 0.000072, 54659744, 39.298141, 6.514303
