Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 253, 100, 103, 0.076760, 0.970874, 2415, 23.446602, 1.364803
1.000000, -5.020600, 1.260419, 202, 100, 120, 0.052604, 0.833333, 2716, 22.633333, 1.413844
2.000000, -4.020600, 1.123350, 176, 100, 134, 0.041045, 0.746269, 2985, 22.276119, 1.436516
3.000000, -3.020600, 1.001187, 145, 100, 191, 0.023724, 0.523560, 4041, 21.157068, 1.512497
4.000000, -2.020600, 0.892308, 120, 100, 294, 0.012755, 0.340136, 5848, 19.891157, 1.608755
5.000000, -1.020600, 0.795271, 108, 100, 633, 0.005332, 0.157978, 12530, 19.794628, 1.616600
6.000000, -0.020600, 0.708786, 102, 100, 1058, 0.003013, 0.094518, 21069, 19.913988, 1.606911
7.000000, 0.979400, 0.631706, 102, 100, 3644, 0.000875, 0.027442, 73210, 20.090559, 1.592788
8.000000, 1.979400, 0.563009, 100, 100, 15727, 0.000199, 0.006358, 314907, 20.023336, 1.598135
9.000000, 2.979400, 0.501782, 100, 100, 101991, 0.000031, 0.000980, 2041669, 20.018129, 1.598551
10.000000, 3.979400, 0.447214, 100, 100, 814800, 0.000004, 0.000123, 16238947, 19.929979, 1.605621
11.000000, 4.979400, 0.398580, 101, 100, 11950951, 0.000000, 0.000008, 236281892, 19.770969, 1.618535
