Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.105769,2.000000,5.000000,15.196347,13.272727,1.346154,1.000000,2.000000,71.314285,8.484848,1.384615,1.000000,2.000000,69.333328,8.727273,8.096154,2.000000,5.000000,11.857482,51.030304,0.807692,1.000000,5.000000,118.857147,5.090909,1.153846,1.000000,5.000000,27.733334,7.272727,0.971154,0.000000,1.000000,32.950493,6.121212
1.000000,1.913043,1.000000,3.000000,16.727272,12.658228,1.278261,1.000000,5.000000,75.102043,8.457997,1.321739,1.000000,2.000000,72.631584,8.745684,7.739130,1.000000,3.000000,12.404494,51.208282,0.747826,0.000000,3.000000,128.372086,4.948216,1.200000,1.000000,3.000000,26.666666,7.940161,0.913043,0.000000,1.000000,35.047619,6.041427
2.000000,1.897059,1.000000,2.000000,16.868217,13.096447,1.169118,1.000000,2.000000,82.113205,8.071066,1.279412,1.000000,2.000000,75.034485,8.832487,7.397059,1.000000,2.000000,12.978131,51.065987,0.757353,1.000000,2.000000,126.757278,5.228426,1.183824,1.000000,2.000000,27.031055,8.172589,0.801471,0.000000,1.000000,39.926605,5.532995
3.000000,1.854167,1.000000,3.000000,17.258427,13.403614,1.151042,1.000000,2.000000,83.402718,8.320784,1.239583,1.000000,2.000000,77.445374,8.960844,7.098958,1.000000,8.000000,13.523110,51.317776,0.671875,1.000000,3.000000,142.883728,4.856928,1.088542,1.000000,3.000000,29.397131,7.868976,0.729167,0.000000,1.000000,43.885712,5.271085
4.000000,1.820144,1.000000,2.000000,17.581028,13.572961,1.107914,1.000000,2.000000,86.649353,8.261802,1.183453,1.000000,2.000000,81.118546,8.825107,6.910072,1.000000,7.000000,13.892764,51.528969,0.597122,1.000000,2.000000,160.771088,4.452790,1.089928,1.000000,2.000000,29.359737,8.127682,0.701439,0.000000,1.000000,45.620514,5.230686
5.000000,1.720588,1.000000,2.000000,18.598291,13.221999,1.063725,1.000000,2.000000,90.248848,8.174284,1.153595,0.000000,2.000000,83.218132,8.864892,6.627451,1.000000,6.000000,14.485208,50.929184,0.661765,1.000000,2.000000,145.066666,5.085384,1.063725,1.000000,2.000000,30.082951,8.174284,0.722222,0.000000,1.000000,44.307693,5.549975
6.000000,1.712658,1.000000,3.000000,18.684404,13.139112,1.063291,1.000000,2.000000,90.285713,8.157320,1.170253,1.000000,2.000000,82.033531,8.977907,6.644937,1.000000,3.000000,14.447090,50.978390,0.680380,1.000000,3.000000,141.097672,5.219713,1.058228,1.000000,3.000000,30.239233,8.118476,0.705063,0.000000,1.000000,45.385998,5.409080
7.000000,1.708618,1.000000,3.000000,18.728586,13.112092,1.067225,1.000000,2.000000,89.952919,8.189982,1.163324,0.000000,3.000000,82.522171,8.927454,6.665858,1.000000,7.000000,14.401747,51.154411,0.661891,1.000000,3.000000,145.038971,5.079413,1.069209,1.000000,3.000000,29.928675,8.205207,0.694732,0.000000,2.000000,46.060913,5.331439
8.000000,1.708150,1.000000,3.000000,18.733721,13.118716,1.067468,0.000000,2.000000,89.932411,8.198236,1.164729,0.000000,3.000000,82.422569,8.945209,6.665264,1.000000,6.000000,14.403031,51.189716,0.659719,0.000000,3.000000,145.516403,5.066694,1.062725,1.000000,3.000000,30.111259,8.161810,0.692652,0.000000,1.000000,46.199245,5.319618
9.000000,1.702177,1.000000,6.000000,18.799458,13.156053,1.062279,0.000000,8.000000,90.371719,8.210311,1.148301,0.000000,3.000000,83.601746,8.875173,6.649541,1.000000,8.000000,14.437086,51.394024,0.649323,1.000000,6.000000,147.846222,5.018593,1.051990,1.000000,6.000000,30.418531,8.130788,0.674743,0.000000,2.000000,47.425465,5.215060
10.000000,1.705390,0.000000,6.000000,18.764040,13.147890,1.065594,0.000000,3.000000,90.090599,8.215314,1.153839,0.000000,3.000000,83.200516,8.895649,6.643801,0.000000,6.000000,14.449560,51.221115,0.659935,0.000000,6.000000,145.468811,5.087844,1.059678,0.000000,6.000000,30.197844,8.169707,0.682588,0.000000,7.000000,46.880432,5.262484
11.000000,1.675430,0.000000,9.000000,19.099569,18.864765,1.049793,0.000000,8.000000,91.446602,11.820305,1.137864,0.000000,8.000000,84.368591,12.811956,7.352372,0.000000,9.000000,13.057011,82.785164,0.644367,0.000000,9.000000,148.983490,7.255345,1.044259,0.000000,9.000000,30.643736,11.757995,0.666682,0.000000,8.000000,47.998878,7.506611
