Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 3710, 100, 100, 0.144922, 1.000000, 10560, 105.599998, 2.424242
1.000000, -5.020600, 1.260419, 3018, 100, 100, 0.117891, 1.000000, 9293, 92.930000, 2.754762
2.000000, -4.020600, 1.123350, 2297, 100, 100, 0.089727, 1.000000, 9175, 91.750000, 2.790191
3.000000, -3.020600, 1.001187, 1654, 100, 100, 0.064609, 1.000000, 9171, 91.709999, 2.791408
4.000000, -2.020600, 0.892308, 1195, 100, 100, 0.046680, 1.000000, 9115, 91.150002, 2.808557
5.000000, -1.020600, 0.795271, 756, 100, 100, 0.029531, 1.000000, 9101, 91.010002, 2.812878
6.000000, -0.020600, 0.708786, 451, 100, 102, 0.017272, 0.980392, 9259, 90.774513, 2.820175
7.000000, 0.979400, 0.631706, 251, 100, 106, 0.009250, 0.943396, 9617, 90.726418, 2.821670
8.000000, 1.979400, 0.563009, 168, 100, 152, 0.004317, 0.657895, 13763, 90.546051, 2.827291
9.000000, 2.979400, 0.501782, 131, 100, 290, 0.001765, 0.344828, 26283, 90.631035, 2.824640
10.000000, 3.979400, 0.447214, 106, 100, 922, 0.000449, 0.108460, 83489, 90.552063, 2.827103
11.000000, 4.979400, 0.398580, 100, 100, 3673, 0.000106, 0.027226, 332616, 90.557037, 2.826948
12.000000, 5.979400, 0.355234, 100, 100, 20954, 0.000019, 0.004772, 1897920, 90.575546, 2.826370
13.000000, 6.979400, 0.316603, 100, 100, 224432, 0.000002, 0.000446, 20314341, 90.514458, 2.828278
14.000000, 7.979400, 0.282173, 100, 100, 4190244, 0.000000, 0.000024, 377429648, 90.073425, 2.842126
