Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 1960, 100, 100, 0.076563, 1.000000, 5091, 50.910000, 5.028481
1.000000, 1.000000, 0.630210, 1433, 100, 100, 0.055977, 1.000000, 4530, 45.299999, 5.651214
2.000000, 2.000000, 0.561675, 951, 100, 100, 0.037148, 1.000000, 4235, 42.349998, 6.044864
3.000000, 3.000000, 0.500593, 556, 100, 100, 0.021719, 1.000000, 3860, 38.599998, 6.632124
4.000000, 4.000000, 0.446154, 348, 100, 103, 0.013198, 0.970874, 4008, 38.912621, 6.578842
5.000000, 5.000000, 0.397635, 228, 100, 124, 0.007182, 0.806452, 4766, 38.435482, 6.660512
6.000000, 6.000000, 0.354393, 135, 100, 188, 0.002805, 0.531915, 7185, 38.218086, 6.698400
7.000000, 7.000000, 0.315853, 112, 100, 561, 0.000780, 0.178253, 21381, 38.112301, 6.716992
8.000000, 8.000000, 0.281504, 101, 100, 2116, 0.000186, 0.047259, 80788, 38.179585, 6.705154
9.000000, 9.000000, 0.250891, 100, 100, 10614, 0.000037, 0.009422, 404697, 38.128605, 6.714119
10.000000, 10.000000, 0.223607, 100, 100, 96682, 0.000004, 0.001034, 3682556, 38.089367, 6.721036
11.000000, 11.000000, 0.199290, 100, 100, 1403392, 0.000000, 0.000071, 53524872, 38.139645, 6.712176
