Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.540000,10.000000,12.000000,24.288425,17.804054,3.350000,3.000000,5.000000,152.835831,5.658784,0.890000,0.000000,1.000000,575.280884,1.503378,37.639999,10.000000,36.000000,13.602551,63.581081,0.880000,1.000000,12.000000,581.818176,1.486486,4.130000,10.000000,12.000000,61.985470,6.976351,1.770000,1.000000,3.000000,144.632767,2.989865
1.000000,9.540000,9.000000,11.000000,26.834381,17.962719,3.090000,3.000000,5.000000,165.695801,5.818113,0.770000,0.000000,1.000000,664.935059,1.449821,33.779999,9.000000,33.000000,15.156898,63.603840,0.820000,9.000000,11.000000,624.390259,1.543965,3.670000,3.000000,11.000000,69.754768,6.910186,1.440000,1.000000,2.000000,177.777771,2.711354
2.000000,9.110000,9.000000,11.000000,28.100988,17.901356,2.920000,2.000000,3.000000,175.342468,5.737866,0.770000,0.000000,1.000000,664.935059,1.513067,32.509998,9.000000,11.000000,15.749002,63.882881,0.720000,1.000000,11.000000,711.111084,1.414816,3.630000,4.000000,11.000000,70.523415,7.133032,1.230000,0.000000,2.000000,208.130081,2.416978
3.000000,9.110000,9.000000,10.000000,28.100988,17.933069,2.950000,2.000000,3.000000,173.559326,5.807086,0.790000,0.000000,1.000000,648.101257,1.555118,32.470001,9.000000,32.000000,15.768401,63.917324,0.790000,1.000000,10.000000,648.101257,1.555118,3.570000,3.000000,10.000000,71.708687,7.027559,1.120000,1.000000,2.000000,228.571426,2.204725
4.000000,9.122642,9.000000,10.000000,28.062048,18.000746,2.952830,2.000000,3.000000,173.392975,5.826508,0.764151,0.000000,1.000000,670.024719,1.507818,32.424530,9.000000,36.000000,15.790514,63.979900,0.698113,1.000000,10.000000,733.405396,1.377513,3.669811,4.000000,10.000000,69.758354,7.241251,1.047170,1.000000,2.000000,244.468475,2.066270
5.000000,9.106558,9.000000,11.000000,28.111610,17.986076,2.950820,2.000000,3.000000,173.511108,5.828072,0.762295,0.000000,1.000000,671.655945,1.505585,32.524590,9.000000,34.000000,15.741936,64.238304,0.729508,1.000000,11.000000,701.842651,1.440829,3.540984,9.000000,11.000000,72.296295,6.993686,1.016393,1.000000,2.000000,251.870972,2.007447
6.000000,9.178744,9.000000,11.000000,27.890526,18.167910,2.898551,2.000000,3.000000,176.639999,5.737235,0.763285,0.000000,1.000000,670.784790,1.510805,32.468597,9.000000,31.000000,15.769083,64.266586,0.724638,9.000000,11.000000,706.559998,1.434309,3.512077,3.000000,11.000000,72.891335,6.951616,0.975845,0.000000,2.000000,262.336639,1.931536
7.000000,9.109777,9.000000,11.000000,28.101675,18.091703,2.926244,2.000000,5.000000,174.968353,5.811419,0.756432,0.000000,1.000000,676.861694,1.502248,32.343052,9.000000,33.000000,15.830294,64.232185,0.747856,0.000000,11.000000,684.623840,1.485216,3.531732,3.000000,11.000000,72.485672,7.013898,0.938250,0.000000,2.000000,272.848267,1.863333
8.000000,9.103648,9.000000,11.000000,28.120594,18.061279,2.929519,2.000000,4.000000,174.772705,5.812050,0.757463,0.000000,1.000000,675.940918,1.502776,32.420399,9.000000,32.000000,15.792526,64.320793,0.735075,9.000000,11.000000,696.527893,1.458359,3.542289,3.000000,11.000000,72.269661,7.027761,0.915837,0.000000,2.000000,279.525574,1.816985
9.000000,9.128095,9.000000,13.000000,28.045282,18.099051,2.933307,2.000000,5.000000,174.547043,5.816117,0.756490,0.000000,2.000000,676.810303,1.499956,32.432110,9.000000,13.000000,15.786823,64.305908,0.733826,0.000000,13.000000,697.713196,1.455019,3.527556,9.000000,13.000000,72.571495,6.994386,0.922724,0.000000,2.000000,277.439514,1.829563
10.000000,9.131867,8.000000,33.000000,28.033697,18.108530,2.931921,2.000000,11.000000,174.629532,5.814011,0.766243,0.000000,4.000000,668.195496,1.519463,32.423428,8.000000,33.000000,15.791051,64.295784,0.729810,1.000000,33.000000,701.552002,1.447217,3.522603,4.000000,33.000000,72.673538,6.985335,0.922671,0.000000,10.000000,277.455414,1.829660
11.000000,9.117082,0.000000,110.000000,28.079161,19.022692,2.926925,0.000000,91.000000,174.927582,6.106997,0.764716,0.000000,18.000000,669.529968,1.595571,32.241627,0.000000,110.000000,15.880092,67.271797,0.729134,0.000000,110.000000,702.202515,1.521331,3.523249,0.000000,110.000000,72.660202,7.351222,0.921138,0.000000,28.000000,277.916992,1.921945
