Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.210000,2.000000,8.000000,14.479638,11.774107,1.500000,1.000000,2.000000,85.333336,7.991476,0.850000,0.000000,1.000000,150.588226,4.528503,10.690000,2.000000,11.000000,11.973807,56.952583,0.850000,1.000000,8.000000,150.588226,4.528503,1.580000,2.000000,8.000000,20.253164,8.417687,1.090000,1.000000,2.000000,29.357798,5.807139
1.000000,2.009524,1.000000,3.000000,15.924170,11.814111,1.323810,1.000000,2.000000,96.690651,7.782755,0.809524,0.000000,1.000000,158.117645,4.759239,9.704762,1.000000,3.000000,13.189402,57.054871,0.752381,1.000000,3.000000,170.126572,4.423293,1.457143,1.000000,3.000000,21.960785,8.566629,0.952381,0.000000,2.000000,33.599998,5.599104
2.000000,1.941176,0.000000,3.000000,16.484848,11.799761,1.274510,1.000000,2.000000,100.430771,7.747318,0.813725,0.000000,1.000000,157.301208,4.946364,9.401960,0.000000,9.000000,13.614182,57.151367,0.725490,0.000000,3.000000,176.432434,4.410012,1.372549,0.000000,3.000000,23.314285,8.343266,0.921569,0.000000,1.000000,34.723404,5.601907
3.000000,1.868421,1.000000,2.000000,17.126760,11.979753,1.236842,1.000000,2.000000,103.489357,7.930260,0.622807,0.000000,1.000000,205.521118,3.993251,9.052631,1.000000,2.000000,14.139535,58.042744,0.789474,1.000000,2.000000,162.133331,5.061868,1.307018,1.000000,2.000000,24.483221,8.380202,0.719298,0.000000,1.000000,44.487804,4.611924
4.000000,1.918699,1.000000,2.000000,16.677967,12.253375,1.268293,1.000000,2.000000,100.923080,8.099689,0.650406,0.000000,1.000000,196.800003,4.153686,9.105691,1.000000,10.000000,14.057143,58.151608,0.691057,1.000000,2.000000,185.223526,4.413291,1.292683,1.000000,2.000000,24.754717,8.255452,0.731707,0.000000,1.000000,43.733334,4.672897
5.000000,1.867550,1.000000,2.000000,17.134752,12.149935,1.231788,1.000000,2.000000,103.913979,8.013786,0.682119,0.000000,1.000000,187.650482,4.437742,8.867550,1.000000,9.000000,14.434652,57.690651,0.615894,1.000000,2.000000,207.827957,4.006893,1.311258,1.000000,2.000000,24.404039,8.530806,0.794702,0.000000,1.000000,40.266666,5.170185
6.000000,1.738397,1.000000,2.000000,18.407766,11.774793,1.198312,1.000000,2.000000,106.816895,8.116606,0.654008,0.000000,1.000000,195.716125,4.429837,8.573839,1.000000,2.000000,14.929134,58.073734,0.696203,0.000000,2.000000,183.854553,4.715633,1.215190,1.000000,2.000000,26.333334,8.230923,0.687764,0.000000,1.000000,46.527607,4.658473
7.000000,1.770026,1.000000,2.000000,18.078833,12.009116,1.209302,1.000000,2.000000,105.846153,8.204768,0.635659,0.000000,1.000000,201.365845,4.312763,8.596899,1.000000,2.000000,14.889090,58.327484,0.633075,1.000000,2.000000,202.187759,4.295231,1.193798,1.000000,2.000000,26.805195,8.099579,0.700258,0.000000,1.000000,45.697418,4.751052
8.000000,1.761733,1.000000,3.000000,18.163935,11.833172,1.186522,1.000000,2.000000,107.878296,7.969609,0.670277,0.000000,1.000000,190.965897,4.502102,8.641396,1.000000,3.000000,14.812422,58.042351,0.689531,0.000000,3.000000,185.633514,4.631425,1.211793,1.000000,3.000000,26.407148,8.139347,0.726835,0.000000,1.000000,44.026489,4.881991
9.000000,1.756874,1.000000,2.000000,18.214169,11.869765,1.193439,1.000000,3.000000,107.253029,8.063097,0.654124,0.000000,1.000000,195.681427,4.419385,8.610709,1.000000,9.000000,14.865210,58.175537,0.667149,1.000000,2.000000,191.861176,4.507382,1.205982,1.000000,2.000000,26.534401,8.147834,0.712976,0.000000,2.000000,44.882275,4.816999
