Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 274, 100, 106, 0.080778, 0.943396, 2917, 27.518867, 1.162839
1.000000, -3.771212, 1.091555, 226, 100, 126, 0.056052, 0.793651, 2422, 19.222221, 1.664740
2.000000, -2.771212, 0.972849, 148, 100, 138, 0.033514, 0.724638, 2625, 19.021740, 1.682286
3.000000, -1.771212, 0.867053, 147, 100, 195, 0.023558, 0.512821, 3757, 19.266666, 1.660900
4.000000, -0.771212, 0.772762, 115, 100, 303, 0.011861, 0.330033, 5406, 17.841583, 1.793563
5.000000, 0.228788, 0.688725, 106, 100, 562, 0.005894, 0.177936, 9526, 16.950178, 1.887886
6.000000, 1.228788, 0.613826, 104, 100, 1390, 0.002338, 0.071942, 23570, 16.956835, 1.887145
7.000000, 2.228788, 0.547073, 100, 100, 4158, 0.000752, 0.024050, 70774, 17.021164, 1.880012
8.000000, 3.228788, 0.487580, 100, 100, 16174, 0.000193, 0.006183, 274518, 16.972795, 1.885370
9.000000, 4.228787, 0.434556, 101, 100, 113728, 0.000028, 0.000879, 1928699, 16.958876, 1.886918
10.000000, 5.228787, 0.387298, 100, 100, 775830, 0.000004, 0.000129, 13168697, 16.973688, 1.885271
11.000000, 6.228787, 0.345180, 100, 100, 12224984, 0.000000, 0.000008, 209268312, 17.118086, 1.869368
