Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -3.010300, 1.000000, 2098, 100, 100, 0.081953, 1.000000, 6720, 67.199997, 3.809524
1.000000, -2.010300, 0.891251, 1413, 100, 100, 0.055195, 1.000000, 6573, 65.730003, 3.894721
2.000000, -1.010300, 0.794328, 988, 100, 100, 0.038594, 1.000000, 6189, 61.889999, 4.136371
3.000000, -0.010300, 0.707946, 613, 100, 101, 0.023708, 0.990099, 6081, 60.207920, 4.251932
4.000000, 0.989700, 0.630957, 351, 100, 106, 0.012935, 0.943396, 6345, 59.858490, 4.276753
5.000000, 1.989700, 0.562341, 190, 100, 130, 0.005709, 0.769231, 7710, 59.307693, 4.316472
6.000000, 2.989700, 0.501187, 152, 100, 234, 0.002537, 0.427350, 13805, 58.995728, 4.339297
7.000000, 3.989700, 0.446684, 111, 100, 583, 0.000744, 0.171527, 34132, 58.545456, 4.372671
8.000000, 4.989700, 0.398107, 102, 100, 2339, 0.000170, 0.042753, 135750, 58.037624, 4.410932
9.000000, 5.989700, 0.354813, 101, 100, 10059, 0.000039, 0.009941, 582899, 57.948006, 4.417753
10.000000, 6.989700, 0.316228, 100, 100, 107640, 0.000004, 0.000929, 6233575, 57.911324, 4.420552
11.000000, 7.989700, 0.281838, 100, 100, 1784504, 0.000000, 0.000056, 103198332, 57.830265, 4.426748
