Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.490000,10.000000,13.000000,24.404196,17.236280,3.370000,3.000000,4.000000,151.928787,5.537299,4.070000,3.000000,5.000000,125.798523,6.687480,36.770000,10.000000,13.000000,13.924395,60.417351,0.910000,1.000000,13.000000,562.637329,1.495235,4.060000,4.000000,13.000000,63.054188,6.671048,1.190000,1.000000,2.000000,215.126038,1.955307
1.000000,9.790000,9.000000,11.000000,26.149132,17.127361,3.200000,3.000000,4.000000,160.000000,5.598320,3.740000,3.000000,7.000000,136.898392,6.543037,34.689999,9.000000,34.000000,14.759297,60.689289,0.740000,9.000000,11.000000,691.891907,1.294612,3.830000,9.000000,11.000000,66.840729,6.700490,1.170000,1.000000,6.000000,218.803421,2.046886
2.000000,9.350000,9.000000,10.000000,27.379679,17.143381,3.090000,2.000000,5.000000,165.695801,5.665566,3.670000,3.000000,6.000000,139.509537,6.729006,33.080002,9.000000,10.000000,15.477629,60.652737,0.730000,9.000000,10.000000,701.369873,1.338467,3.600000,3.000000,10.000000,71.111115,6.600660,1.020000,0.000000,2.000000,250.980392,1.870187
3.000000,9.138614,9.000000,11.000000,28.013002,17.121128,2.950495,2.000000,4.000000,173.530197,5.527731,3.554456,3.000000,5.000000,144.044571,6.659247,32.435642,9.000000,11.000000,15.785105,60.767944,0.702970,0.000000,11.000000,728.338013,1.317010,3.544554,3.000000,11.000000,72.223465,6.640697,1.049505,1.000000,2.000000,243.924515,1.966240
4.000000,9.141509,9.000000,11.000000,28.004129,17.168674,2.905660,2.000000,3.000000,176.207794,5.457123,3.481132,3.000000,4.000000,147.078598,6.537916,32.443398,9.000000,11.000000,15.781331,60.931969,0.716981,9.000000,11.000000,714.105286,1.346563,3.518868,3.000000,11.000000,72.750671,6.608788,1.037736,1.000000,2.000000,246.690918,1.948972
5.000000,9.184615,9.000000,11.000000,27.872698,17.342047,2.938462,2.000000,3.000000,174.240845,5.548293,3.392308,3.000000,4.000000,150.929703,6.405229,32.276924,9.000000,32.000000,15.862726,60.944080,0.684615,1.000000,11.000000,747.865173,1.292665,3.461539,9.000000,11.000000,73.955551,6.535948,1.023077,1.000000,2.000000,250.225571,1.931736
6.000000,9.158119,9.000000,11.000000,27.953339,17.205940,2.944444,2.000000,5.000000,173.886795,5.531915,3.474359,3.000000,5.000000,147.365311,6.527500,32.337608,9.000000,32.000000,15.832958,60.754719,0.735043,1.000000,11.000000,696.558105,1.380972,3.572649,9.000000,11.000000,71.655502,6.712164,1.004274,0.000000,2.000000,254.910629,1.886793
7.000000,9.144082,9.000000,12.000000,27.996248,17.166870,2.943396,2.000000,4.000000,173.948715,5.525858,3.519726,2.000000,5.000000,145.465881,6.607845,32.394512,9.000000,33.000000,15.805146,60.816643,0.737564,0.000000,12.000000,694.176758,1.384685,3.538594,3.000000,12.000000,72.345131,6.643267,0.987993,0.000000,2.000000,259.111115,1.854833
8.000000,9.138521,9.000000,15.000000,28.013285,17.159992,2.940573,2.000000,4.000000,174.115723,5.521704,3.510474,3.000000,5.000000,145.849228,6.591845,32.422401,9.000000,31.000000,15.791551,60.881641,0.735357,1.000000,15.000000,696.260498,1.380827,3.514750,4.000000,15.000000,72.835907,6.599874,0.992732,0.000000,2.000000,257.874237,1.864117
9.000000,9.136793,9.000000,14.000000,28.018583,17.171017,2.932101,2.000000,16.000000,174.618835,5.510374,3.506114,2.000000,7.000000,146.030624,6.589132,32.386620,9.000000,14.000000,15.808998,60.865025,0.741823,9.000000,14.000000,690.191345,1.394128,3.520728,9.000000,14.000000,72.712242,6.616596,0.986380,0.000000,3.000000,259.534790,1.853731
10.000000,9.133844,8.000000,57.000000,28.027628,17.160641,2.930974,2.000000,18.000000,174.685989,5.506704,3.506754,2.000000,24.000000,146.003967,6.588479,32.421089,8.000000,57.000000,15.792190,60.912643,0.729933,8.000000,57.000000,701.434143,1.371396,3.515626,4.000000,57.000000,72.817757,6.605148,0.987328,0.000000,14.000000,259.285645,1.854989
11.000000,9.125682,5.000000,32.000000,28.052698,18.114746,2.928195,0.000000,23.000000,174.851776,5.812552,3.496925,2.000000,67.000000,146.414352,6.941499,32.237362,5.000000,32.000000,15.882193,63.992111,0.732129,5.000000,32.000000,699.330383,1.453297,3.514920,5.000000,32.000000,72.832382,6.977220,0.985495,0.000000,16.000000,259.767883,1.956237
