Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 473, 100, 101, 0.146349, 0.990099, 2567, 25.415842, 1.259057
1.000000, -5.020600, 1.260419, 342, 100, 103, 0.103762, 0.970874, 2463, 23.912621, 1.338205
2.000000, -4.020600, 1.123350, 342, 100, 106, 0.100825, 0.943396, 2406, 22.698112, 1.409809
3.000000, -3.020600, 1.001187, 246, 100, 121, 0.063533, 0.826446, 2665, 22.024794, 1.452908
4.000000, -2.020600, 0.892308, 189, 100, 127, 0.046506, 0.787402, 2676, 21.070866, 1.518685
5.000000, -1.020600, 0.795271, 151, 100, 159, 0.029678, 0.628931, 3215, 20.220125, 1.582582
6.000000, -0.020600, 0.708786, 135, 100, 230, 0.018342, 0.434783, 4570, 19.869566, 1.610503
7.000000, 0.979400, 0.631706, 116, 100, 338, 0.010725, 0.295858, 6738, 19.934912, 1.605224
8.000000, 1.979400, 0.563009, 105, 100, 1104, 0.002972, 0.090580, 22160, 20.072464, 1.594224
9.000000, 2.979400, 0.501782, 103, 100, 2186, 0.001472, 0.045746, 43799, 20.036139, 1.597114
10.000000, 3.979400, 0.447214, 101, 100, 6412, 0.000492, 0.015596, 128259, 20.002964, 1.599763
11.000000, 4.979400, 0.398580, 100, 100, 27950, 0.000112, 0.003578, 561939, 20.105152, 1.591632
12.000000, 5.979400, 0.355234, 101, 100, 183275, 0.000017, 0.000546, 3693391, 20.152182, 1.587917
13.000000, 6.979400, 0.316603, 100, 100, 1609903, 0.000002, 0.000062, 32465558, 20.166159, 1.586817
14.000000, 7.979400, 0.282173, 100, 100, 23653173, 0.000000, 0.000004, 468539334, 19.808731, 1.615449
