Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.058824,1.000000,4.000000,15.542857,11.217949,1.411765,1.000000,2.000000,90.666664,7.692307,1.490196,1.000000,2.000000,85.894737,8.119658,10.274509,1.000000,11.000000,12.458015,55.982903,0.754902,1.000000,4.000000,169.558441,4.113248,1.588235,1.000000,4.000000,20.148149,8.653846,0.774510,0.000000,1.000000,41.316456,4.220086
1.000000,2.087379,1.000000,3.000000,15.330232,11.534335,1.466019,1.000000,2.000000,87.311256,8.100859,1.436893,1.000000,2.000000,89.081078,7.939914,9.961165,1.000000,3.000000,12.849902,55.042919,0.786408,1.000000,3.000000,162.765427,4.345493,1.572816,1.000000,3.000000,20.345678,8.690987,0.786408,0.000000,1.000000,40.691357,4.345493
2.000000,2.046296,2.000000,3.000000,15.638008,11.736591,1.407407,1.000000,2.000000,90.947372,8.072226,1.351852,1.000000,2.000000,94.684937,7.753585,9.601851,2.000000,3.000000,13.330762,55.071693,0.768519,2.000000,3.000000,166.554214,4.407860,1.435185,1.000000,3.000000,22.296774,8.231546,0.824074,0.000000,1.000000,38.831459,4.726501
3.000000,1.991379,1.000000,3.000000,16.069265,11.441307,1.301724,1.000000,2.000000,98.331123,7.478951,1.362069,1.000000,2.000000,93.974678,7.825656,9.767241,1.000000,11.000000,13.105031,56.116890,0.732759,1.000000,3.000000,174.682343,4.210005,1.465517,1.000000,3.000000,21.835293,8.420011,0.784483,0.000000,1.000000,40.791206,4.507182
4.000000,1.853846,1.000000,3.000000,17.261410,11.325189,1.323077,1.000000,2.000000,96.744186,8.082707,1.323077,1.000000,2.000000,96.744186,8.082707,9.123077,1.000000,3.000000,14.030354,55.733086,0.707692,0.000000,3.000000,180.869568,4.323308,1.300000,1.000000,3.000000,24.615385,7.941730,0.738462,0.000000,1.000000,43.333332,4.511278
5.000000,1.836257,1.000000,2.000000,17.426752,11.501831,1.309942,1.000000,2.000000,97.714287,8.205129,1.269006,1.000000,2.000000,100.866356,7.948718,8.795321,1.000000,9.000000,14.553192,55.091576,0.730994,1.000000,2.000000,175.104004,4.578755,1.315789,1.000000,2.000000,24.320000,8.241758,0.707602,0.000000,1.000000,45.223141,4.432234
6.000000,1.789700,1.000000,2.000000,17.880096,11.544850,1.240343,1.000000,2.000000,103.197235,8.001107,1.266094,1.000000,2.000000,101.098305,8.167220,8.652361,1.000000,10.000000,14.793650,55.813957,0.639485,1.000000,2.000000,200.161072,4.125139,1.201717,1.000000,2.000000,26.628571,7.751938,0.712446,0.000000,1.000000,44.915665,4.595792
7.000000,1.807595,1.000000,2.000000,17.703081,11.651436,1.205063,1.000000,2.000000,106.218483,7.767624,1.288608,1.000000,2.000000,99.332024,8.306136,8.655696,1.000000,10.000000,14.787951,55.793079,0.650633,0.000000,2.000000,196.731522,4.193864,1.215190,1.000000,2.000000,26.333334,7.832898,0.691139,0.000000,1.000000,46.300369,4.454961
8.000000,1.812689,1.000000,2.000000,17.653334,11.672396,1.223565,1.000000,3.000000,104.612343,7.878867,1.236657,1.000000,2.000000,103.504890,7.963167,8.640484,1.000000,2.000000,14.813985,55.638420,0.695871,0.000000,2.000000,183.942108,4.480903,1.198389,1.000000,2.000000,26.702522,7.716750,0.722054,0.000000,2.000000,44.317993,4.649504
9.000000,1.785571,1.000000,2.000000,17.921436,11.579324,1.215932,1.000000,2.000000,105.269051,7.885246,1.234970,1.000000,2.000000,103.646248,8.008707,8.635772,1.000000,2.000000,14.822068,56.002468,0.657816,1.000000,2.000000,194.583389,4.265895,1.189379,1.000000,2.000000,26.904802,7.713051,0.700902,0.000000,2.000000,45.655468,4.545307
10.000000,1.783053,1.000000,2.000000,17.946747,11.548679,1.217398,1.000000,3.000000,105.142296,7.884980,1.234375,1.000000,3.000000,103.696205,7.994940,8.637019,1.000000,9.000000,14.819928,55.941223,0.668570,1.000000,2.000000,191.453491,4.330268,1.201022,1.000000,2.000000,26.643982,7.778913,0.698017,0.000000,2.000000,45.844166,4.520995
11.000000,1.787904,1.000000,6.000000,17.898052,11.574694,1.220311,0.000000,3.000000,104.891258,7.900162,1.229198,1.000000,3.000000,104.132942,7.957693,8.639548,1.000000,10.000000,14.815589,55.931484,0.675734,1.000000,6.000000,189.423538,4.374630,1.196337,1.000000,6.000000,26.748323,7.744951,0.697631,0.000000,2.000000,45.869503,4.516388
12.000000,1.784231,1.000000,16.000000,17.934900,11.574241,1.206031,0.000000,12.000000,106.133286,7.823478,1.225773,0.000000,3.000000,104.423866,7.951549,8.651357,1.000000,16.000000,14.795367,56.121044,0.666743,1.000000,16.000000,191.977997,4.325139,1.188231,1.000000,16.000000,26.930780,7.708015,0.693166,0.000000,2.000000,46.164997,4.496542
13.000000,1.778530,0.000000,16.000000,17.992386,12.187469,1.205876,0.000000,14.000000,106.146881,8.263330,1.236612,0.000000,13.000000,103.508629,8.473947,8.652614,0.000000,16.000000,14.793218,59.292480,0.659875,0.000000,16.000000,193.976074,4.521829,1.182546,0.000000,16.000000,27.060253,8.103459,0.676678,0.000000,12.000000,47.289833,4.636972
