Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 281, 100, 113, 0.077710, 0.884956, 1739, 15.389380, 2.079356
1.000000, 1.000000, 0.630210, 195, 100, 118, 0.051642, 0.847458, 1717, 14.550847, 2.199185
2.000000, 2.000000, 0.561675, 158, 100, 129, 0.038275, 0.775194, 1891, 14.658915, 2.182972
3.000000, 3.000000, 0.500593, 137, 100, 186, 0.023017, 0.537634, 2556, 13.741936, 2.328639
4.000000, 4.000000, 0.446154, 123, 100, 303, 0.012686, 0.330033, 4201, 13.864686, 2.308022
5.000000, 5.000000, 0.397635, 111, 100, 586, 0.005919, 0.170648, 7633, 13.025598, 2.456701
6.000000, 6.000000, 0.354393, 103, 100, 1066, 0.003019, 0.093809, 13739, 12.888368, 2.482859
7.000000, 7.000000, 0.315853, 103, 100, 3843, 0.000838, 0.026021, 49553, 12.894353, 2.481706
8.000000, 8.000000, 0.281504, 100, 100, 17435, 0.000179, 0.005736, 223830, 12.837970, 2.492606
9.000000, 9.000000, 0.250891, 100, 100, 99760, 0.000031, 0.001002, 1280712, 12.837931, 2.492614
10.000000, 10.000000, 0.223607, 100, 100, 740516, 0.000004, 0.000135, 9571927, 12.926023, 2.475626
11.000000, 11.000000, 0.199290, 100, 100, 12098661, 0.000000, 0.000008, 157304664, 13.001825, 2.461193
