Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.084112,2.000000,6.000000,15.354259,16.325037,1.093458,1.000000,2.000000,58.529915,8.565153,1.261682,1.000000,2.000000,50.725925,9.882870,5.654206,2.000000,6.000000,11.319008,44.289898,0.682243,1.000000,6.000000,93.808220,5.344070,1.149533,2.000000,6.000000,27.837399,9.004392,0.841121,0.000000,2.000000,38.044445,6.588580
1.000000,2.131579,2.000000,3.000000,15.012346,16.621067,1.096491,1.000000,2.000000,58.368000,8.549932,1.359649,1.000000,10.000000,47.070965,10.601916,5.438597,2.000000,5.000000,11.767741,42.407665,0.763158,1.000000,3.000000,83.862068,5.950752,1.184211,1.000000,3.000000,27.022223,9.233926,0.850877,0.000000,1.000000,37.608250,6.634747
2.000000,1.985294,0.000000,2.000000,16.118519,16.304346,1.029412,1.000000,2.000000,62.171429,8.454106,1.191176,1.000000,2.000000,53.728397,9.782608,5.213235,0.000000,2.000000,12.276445,42.814011,0.786765,0.000000,2.000000,81.345795,6.461352,1.154412,0.000000,2.000000,27.719744,9.480677,0.816176,0.000000,5.000000,39.207207,6.702899
3.000000,1.989130,1.000000,2.000000,16.087433,16.456833,1.027174,1.000000,2.000000,62.306881,8.498200,1.184783,1.000000,2.000000,54.018349,9.802158,5.168478,1.000000,5.000000,12.382754,42.760792,0.744565,1.000000,2.000000,85.956207,6.160071,1.168478,1.000000,2.000000,27.386047,9.667266,0.804348,0.000000,1.000000,39.783783,6.654676
4.000000,1.898089,1.000000,2.000000,16.859060,16.732172,0.980892,0.000000,1.000000,65.246758,8.646828,1.095541,1.000000,2.000000,58.418606,9.657495,4.898089,1.000000,6.000000,13.066319,43.177990,0.681529,0.000000,2.000000,93.906540,6.007861,1.073248,1.000000,2.000000,29.816025,9.460977,0.716560,0.000000,3.000000,44.657780,6.316676
5.000000,1.793675,1.000000,2.000000,17.840469,16.795938,0.909639,0.000000,1.000000,70.357613,8.517839,1.069277,0.000000,2.000000,59.853519,10.012692,4.637048,1.000000,2.000000,13.801884,43.421238,0.618976,1.000000,2.000000,103.396599,5.796079,0.993976,1.000000,2.000000,32.193939,9.307572,0.656627,0.000000,1.000000,48.733944,6.148639
6.000000,1.780749,1.000000,2.000000,17.969971,16.643759,0.905080,0.000000,1.000000,70.711967,8.459328,1.049465,0.000000,2.000000,60.983437,9.808823,4.641043,1.000000,2.000000,13.790005,43.377483,0.649064,1.000000,2.000000,98.603500,6.066475,1.002005,1.000000,2.000000,31.935957,9.365238,0.671791,0.000000,1.000000,47.633831,6.278895
7.000000,1.780707,1.000000,3.000000,17.970387,16.729977,0.894529,0.000000,1.000000,71.546059,8.404212,1.045924,0.000000,2.000000,61.189919,9.826590,4.634366,1.000000,7.000000,13.809872,43.540466,0.633267,1.000000,3.000000,101.063156,5.949628,1.004834,1.000000,3.000000,31.846054,9.440545,0.650187,0.000000,1.000000,49.216625,6.108588
8.000000,1.776058,1.000000,3.000000,18.017427,16.610153,0.904572,0.000000,4.000000,70.751709,8.459788,1.048015,0.000000,3.000000,61.067837,9.801305,4.646833,1.000000,3.000000,13.772820,43.458382,0.649021,1.000000,3.000000,98.610046,6.069812,1.001477,1.000000,3.000000,31.952822,9.366066,0.666630,0.000000,3.000000,48.002625,6.234497
9.000000,1.772974,1.000000,5.000000,18.048765,16.641027,0.897698,0.000000,4.000000,71.293427,8.425740,1.043977,0.000000,4.000000,61.304039,9.798701,4.644713,1.000000,5.000000,13.779108,43.594978,0.637155,1.000000,5.000000,100.446571,5.980293,1.001241,1.000000,5.000000,31.960323,9.397589,0.656479,0.000000,4.000000,48.744896,6.161671
10.000000,1.778236,1.000000,7.000000,17.995359,16.662609,0.901222,0.000000,4.000000,71.014709,8.444718,1.048383,0.000000,7.000000,61.046421,9.823659,4.645483,1.000000,7.000000,13.776824,43.529572,0.638851,1.000000,7.000000,100.179886,5.986224,1.001840,1.000000,7.000000,31.941214,9.387547,0.658001,0.000000,4.000000,48.632130,6.165669
11.000000,1.768672,0.000000,17.000000,18.092670,23.972187,0.904759,0.000000,7.000000,70.737091,12.262897,1.048573,0.000000,10.000000,61.035301,14.212131,4.475310,0.000000,17.000000,14.300686,60.657349,0.638963,0.000000,17.000000,100.162361,8.660356,1.001240,0.000000,17.000000,31.960354,13.570590,0.662128,0.000000,9.000000,48.329056,8.974329
