Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 3721, 100, 100, 0.145352, 1.000000, 10970, 109.699997, 2.333637
1.000000, -5.020600, 1.260419, 2996, 100, 100, 0.117031, 1.000000, 9793, 97.930000, 2.614112
2.000000, -4.020600, 1.123350, 2329, 100, 100, 0.090977, 1.000000, 9661, 96.610001, 2.649829
3.000000, -3.020600, 1.001187, 1740, 100, 100, 0.067969, 1.000000, 9616, 96.160004, 2.662230
4.000000, -2.020600, 0.892308, 1129, 100, 100, 0.044102, 1.000000, 9607, 96.070000, 2.664724
5.000000, -1.020600, 0.795271, 741, 100, 100, 0.028945, 1.000000, 9561, 95.610001, 2.677544
6.000000, -0.020600, 0.708786, 443, 100, 102, 0.016965, 0.980392, 9741, 95.500000, 2.680628
7.000000, 0.979400, 0.631706, 252, 100, 106, 0.009287, 0.943396, 10109, 95.367928, 2.684341
8.000000, 1.979400, 0.563009, 156, 100, 153, 0.003983, 0.653595, 14572, 95.241829, 2.687895
9.000000, 2.979400, 0.501782, 122, 100, 295, 0.001615, 0.338983, 28085, 95.203392, 2.688980
10.000000, 3.979400, 0.447214, 108, 100, 979, 0.000431, 0.102145, 93275, 95.275795, 2.686936
11.000000, 4.979400, 0.398580, 100, 100, 3919, 0.000100, 0.025517, 373035, 95.186272, 2.689463
12.000000, 5.979400, 0.355234, 100, 100, 25149, 0.000016, 0.003976, 2393095, 95.156670, 2.690300
13.000000, 6.979400, 0.316603, 100, 100, 207928, 0.000002, 0.000481, 19794608, 95.199341, 2.689094
14.000000, 7.979400, 0.282173, 100, 100, 3287067, 0.000000, 0.000030, 311378407, 94.728340, 2.702465
