Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 2014, 100, 100, 0.078672, 1.000000, 11905, 119.050003, 2.150357
1.000000, -5.020600, 1.260419, 1481, 100, 100, 0.057852, 1.000000, 9750, 97.500000, 2.625641
2.000000, -4.020600, 1.123350, 1022, 100, 100, 0.039922, 1.000000, 9480, 94.800003, 2.700422
3.000000, -3.020600, 1.001187, 579, 100, 100, 0.022617, 1.000000, 9472, 94.720001, 2.702703
4.000000, -2.020600, 0.892308, 323, 100, 105, 0.012016, 0.952381, 9915, 94.428574, 2.711044
5.000000, -1.020600, 0.795271, 172, 100, 136, 0.004940, 0.735294, 12821, 94.272057, 2.715545
6.000000, -0.020600, 0.708786, 138, 100, 194, 0.002779, 0.515464, 18309, 94.376289, 2.712546
7.000000, 0.979400, 0.631706, 111, 100, 577, 0.000751, 0.173310, 54428, 94.329292, 2.713897
8.000000, 1.979400, 0.563009, 105, 100, 2035, 0.000202, 0.049140, 191850, 94.275185, 2.715455
9.000000, 2.979400, 0.501782, 102, 100, 10840, 0.000037, 0.009225, 1025106, 94.566971, 2.707076
10.000000, 3.979400, 0.447214, 100, 100, 97647, 0.000004, 0.001024, 9212343, 94.343330, 2.713493
11.000000, 4.979400, 0.398580, 100, 100, 1677233, 0.000000, 0.000060, 157812089, 94.090744, 2.720778
