Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.430000,9.000000,20.000000,24.544582,12.665453,4.560000,4.000000,5.000000,168.421051,5.537341,5.070000,4.000000,23.000000,151.479279,6.156649,54.900002,9.000000,50.000000,13.989071,66.666664,0.850000,0.000000,20.000000,903.529358,1.032180,4.650000,4.000000,20.000000,55.053761,5.646630,1.890000,1.000000,14.000000,135.449738,2.295082
1.000000,9.290000,9.000000,10.000000,27.556513,12.653229,4.220000,4.000000,5.000000,181.990524,5.747752,4.390000,3.000000,8.000000,174.943054,5.979297,49.380001,9.000000,10.000000,15.552855,67.256882,0.790000,9.000000,10.000000,972.151855,1.076001,3.970000,4.000000,10.000000,64.483627,5.407246,1.380000,1.000000,2.000000,185.507248,1.879597
2.000000,9.130000,9.000000,10.000000,28.039431,12.826636,4.060000,4.000000,5.000000,189.162567,5.703849,4.080000,3.000000,5.000000,188.235291,5.731947,48.040001,9.000000,48.000000,15.986677,67.490868,0.680000,9.000000,10.000000,1129.411743,0.955325,3.920000,4.000000,10.000000,65.306122,5.507165,1.270000,0.000000,2.000000,201.574799,1.784209
3.000000,9.120000,9.000000,10.000000,28.070175,12.796409,4.060000,4.000000,5.000000,189.162567,5.696647,4.130000,3.000000,5.000000,185.956406,5.794865,48.160000,9.000000,50.000000,15.946844,67.574020,0.790000,1.000000,10.000000,972.151855,1.108461,3.870000,9.000000,10.000000,66.149872,5.430055,1.140000,1.000000,2.000000,224.561401,1.599551
4.000000,9.116505,9.000000,11.000000,28.080938,12.718407,4.058252,4.000000,5.000000,189.244019,5.661655,4.291262,3.000000,5.000000,178.968323,5.986726,48.310680,9.000000,48.000000,15.897106,67.398079,0.893204,9.000000,11.000000,859.826111,1.246106,3.932039,4.000000,11.000000,65.106171,5.485575,1.077670,0.000000,2.000000,237.549561,1.503454
5.000000,9.138461,9.000000,10.000000,28.013470,12.839078,4.076923,4.000000,5.000000,188.377365,5.727871,4.238461,3.000000,5.000000,181.197830,5.954825,48.169231,9.000000,10.000000,15.943788,67.675346,0.738462,9.000000,10.000000,1040.000000,1.037501,3.823077,4.000000,10.000000,66.961769,5.371231,0.992308,0.000000,2.000000,257.984497,1.394142
6.000000,9.130630,9.000000,10.000000,28.037495,12.833988,4.049550,4.000000,5.000000,189.650726,5.692035,4.211712,3.000000,5.000000,182.348648,5.919970,48.157658,9.000000,10.000000,15.947619,67.690262,0.801802,1.000000,10.000000,957.842712,1.127010,3.869369,9.000000,10.000000,66.160652,5.438774,0.923423,0.000000,2.000000,277.229279,1.297961
7.000000,9.153589,9.000000,10.000000,27.967171,12.845864,4.071786,4.000000,5.000000,188.615005,5.714219,4.191987,3.000000,5.000000,183.206696,5.882904,48.232052,9.000000,49.000000,15.923021,67.687363,0.799666,0.000000,10.000000,960.400818,1.122227,3.868114,4.000000,10.000000,66.182129,5.428391,0.939900,0.000000,2.000000,272.369446,1.319026
8.000000,9.132009,9.000000,10.000000,28.033264,12.816992,4.079511,4.000000,5.000000,188.257874,5.725690,4.206422,3.000000,6.000000,182.577972,5.903813,48.229866,9.000000,47.000000,15.923743,67.691765,0.788481,9.000000,10.000000,974.024597,1.106652,3.885321,9.000000,10.000000,65.889023,5.453141,0.927625,0.000000,2.000000,275.973633,1.301944
9.000000,9.126914,9.000000,17.000000,28.048910,12.802745,4.074897,2.000000,6.000000,188.471008,5.716047,4.241481,3.000000,6.000000,181.068817,5.949722,48.267242,9.000000,48.000000,15.911412,67.706696,0.780905,9.000000,17.000000,983.473816,1.095412,3.879259,4.000000,17.000000,65.991982,5.441617,0.918025,0.000000,6.000000,278.859589,1.287756
10.000000,9.127889,8.000000,15.000000,28.045916,12.803800,4.076866,3.000000,6.000000,188.380005,5.718668,4.231261,3.000000,6.000000,181.506180,5.935241,48.274273,8.000000,48.000000,15.909095,67.714905,0.777595,1.000000,15.000000,987.661133,1.090741,3.880967,8.000000,15.000000,65.962944,5.443879,0.921616,0.000000,3.000000,277.772858,1.292762
11.000000,9.105377,8.000000,15.000000,28.115255,13.292492,4.067417,2.000000,9.000000,188.817612,5.937822,4.216866,2.000000,7.000000,182.125793,6.155994,48.133041,8.000000,15.000000,15.955775,70.267059,0.778391,8.000000,15.000000,986.650208,1.136335,3.868842,8.000000,15.000000,66.169670,5.647932,0.918396,0.000000,5.000000,278.746979,1.340721
