Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 449, 100, 101, 0.138923, 0.990099, 2818, 27.900990, 1.146913
1.000000, -5.020600, 1.260419, 358, 100, 102, 0.109681, 0.980392, 2509, 24.598040, 1.300917
2.000000, -4.020600, 1.123350, 294, 100, 103, 0.089199, 0.970874, 2475, 24.029127, 1.331717
3.000000, -3.020600, 1.001187, 248, 100, 113, 0.068584, 0.884956, 2682, 23.734512, 1.348248
4.000000, -2.020600, 0.892308, 197, 100, 130, 0.047356, 0.769231, 2960, 22.769230, 1.405405
5.000000, -1.020600, 0.795271, 149, 100, 150, 0.031042, 0.666667, 3346, 22.306667, 1.434549
6.000000, -0.020600, 0.708786, 136, 100, 206, 0.020631, 0.485437, 4291, 20.830097, 1.536239
7.000000, 0.979400, 0.631706, 112, 100, 420, 0.008333, 0.238095, 8590, 20.452381, 1.564610
8.000000, 1.979400, 0.563009, 107, 100, 914, 0.003658, 0.109409, 18598, 20.347921, 1.572642
9.000000, 2.979400, 0.501782, 103, 100, 2296, 0.001402, 0.043554, 46323, 20.175522, 1.586080
10.000000, 3.979400, 0.447214, 102, 100, 5533, 0.000576, 0.018073, 111366, 20.127598, 1.589857
11.000000, 4.979400, 0.398580, 100, 100, 32503, 0.000096, 0.003077, 652730, 20.082146, 1.593455
12.000000, 5.979400, 0.355234, 101, 100, 177753, 0.000018, 0.000563, 3537297, 19.900068, 1.608035
13.000000, 6.979400, 0.316603, 100, 100, 1517398, 0.000002, 0.000066, 30155224, 19.872982, 1.610226
14.000000, 7.979400, 0.282173, 100, 100, 24973369, 0.000000, 0.000004, 493365594, 19.755669, 1.619788
