Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 276, 100, 109, 0.079128, 0.917431, 2664, 24.440367, 1.309309
1.000000, -5.020600, 1.260419, 199, 100, 117, 0.053152, 0.854701, 2651, 22.658119, 1.412297
2.000000, -4.020600, 1.123350, 169, 100, 128, 0.041260, 0.781250, 2836, 22.156250, 1.444288
3.000000, -3.020600, 1.001187, 152, 100, 223, 0.021300, 0.448430, 4661, 20.901346, 1.531002
4.000000, -2.020600, 0.892308, 123, 100, 286, 0.013440, 0.349650, 5800, 20.279720, 1.577931
5.000000, -1.020600, 0.795271, 109, 100, 566, 0.006018, 0.176678, 11150, 19.699646, 1.624395
6.000000, -0.020600, 0.708786, 104, 100, 1176, 0.002764, 0.085034, 23361, 19.864796, 1.610890
7.000000, 0.979400, 0.631706, 100, 100, 3693, 0.000846, 0.027078, 72976, 19.760628, 1.619382
8.000000, 1.979400, 0.563009, 100, 100, 16340, 0.000191, 0.006120, 324105, 19.835068, 1.613304
9.000000, 2.979400, 0.501782, 100, 100, 101569, 0.000031, 0.000985, 2034445, 20.030176, 1.597589
10.000000, 3.979400, 0.447214, 100, 100, 803930, 0.000004, 0.000124, 15900443, 19.778393, 1.617927
11.000000, 4.979400, 0.398580, 100, 100, 11344862, 0.000000, 0.000009, 223849850, 19.731386, 1.621782
