Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.203704,2.000000,5.000000,14.521008,20.731705,0.972222,0.000000,2.000000,32.914288,9.146341,1.064815,1.000000,2.000000,30.052174,10.017422,3.444444,2.000000,5.000000,9.290322,32.404179,0.787037,1.000000,5.000000,40.658825,7.404181,1.203704,1.000000,5.000000,26.584614,11.324042,0.953704,0.000000,1.000000,33.553398,8.972125
1.000000,2.009009,2.000000,3.000000,15.928250,21.097446,0.855856,0.000000,1.000000,37.389473,8.987700,0.981982,0.000000,1.000000,32.587154,10.312203,3.018018,2.000000,3.000000,10.602985,31.693470,0.747748,1.000000,3.000000,42.795181,7.852412,1.063063,2.000000,3.000000,30.101696,11.163671,0.846847,0.000000,1.000000,37.787235,8.893093
2.000000,2.007576,2.000000,3.000000,15.939623,21.048450,0.856061,0.000000,1.000000,37.380531,8.975377,0.969697,0.000000,2.000000,33.000000,10.166799,3.007576,2.000000,3.000000,10.639798,31.532961,0.750000,2.000000,3.000000,42.666668,7.863383,1.083333,2.000000,3.000000,29.538460,11.358221,0.863636,0.000000,1.000000,37.052631,9.054806
3.000000,1.861538,1.000000,2.000000,17.190083,21.116926,0.820513,0.000000,1.000000,39.000000,9.307737,0.902564,0.000000,1.000000,35.454544,10.238510,2.815385,1.000000,5.000000,11.366120,31.937170,0.656410,1.000000,2.000000,48.750000,7.446190,1.020513,1.000000,2.000000,31.356785,11.576498,0.738462,0.000000,1.000000,43.333332,8.376963
4.000000,1.874627,1.000000,2.000000,17.070065,21.396935,0.791045,0.000000,1.000000,40.452831,9.028960,0.901493,0.000000,1.000000,35.496689,10.289608,2.805970,1.000000,2.000000,11.404255,32.027256,0.659701,1.000000,2.000000,48.506790,7.529812,1.035821,1.000000,2.000000,30.893373,11.822827,0.692537,0.000000,1.000000,46.206898,7.904599
5.000000,1.770248,1.000000,3.000000,18.076565,21.132597,0.788430,0.000000,3.000000,40.587002,9.411996,0.885950,0.000000,7.000000,36.119404,10.576163,2.687603,1.000000,3.000000,11.906519,32.083660,0.623141,1.000000,3.000000,51.352783,7.438832,0.971901,1.000000,3.000000,32.925171,11.602209,0.649587,0.000000,1.000000,49.262085,7.754539
6.000000,1.766193,1.000000,3.000000,18.118069,21.234568,0.768562,0.000000,1.000000,41.636177,9.240266,0.855450,0.000000,1.000000,37.407204,10.284900,2.663507,1.000000,3.000000,12.014235,32.022793,0.635071,1.000000,3.000000,50.388058,7.635328,0.964455,1.000000,3.000000,33.179363,11.595442,0.664297,0.000000,1.000000,48.171227,7.986704
7.000000,1.761116,1.000000,2.000000,18.170301,21.149412,0.770324,0.000000,2.000000,41.540985,9.250893,0.868456,0.000000,2.000000,36.847015,10.429371,2.680610,1.000000,2.000000,11.937579,32.191719,0.634833,1.000000,2.000000,50.406963,7.623772,0.958695,1.000000,2.000000,33.378704,11.513065,0.652986,0.000000,2.000000,49.005642,7.841775
8.000000,1.770718,1.000000,3.000000,18.071762,21.279390,0.758828,0.000000,2.000000,42.170307,9.119121,0.869926,0.000000,2.000000,36.784756,10.454225,2.678597,1.000000,3.000000,11.946551,32.189716,0.628393,1.000000,3.000000,50.923546,7.551636,0.958323,1.000000,3.000000,33.391655,11.516534,0.656498,0.000000,2.000000,48.743504,7.889382
9.000000,1.772279,0.000000,4.000000,18.055851,21.285442,0.762634,0.000000,7.000000,41.959816,9.159401,0.866089,0.000000,3.000000,36.947693,10.401915,2.675571,0.000000,4.000000,11.960065,32.134171,0.630913,0.000000,4.000000,50.720169,7.577395,0.957129,0.000000,4.000000,33.433315,11.495323,0.661633,0.000000,12.000000,48.365181,7.946352
10.000000,1.776045,0.000000,18.000000,18.017565,21.222328,0.770316,0.000000,14.000000,41.541401,9.204664,0.877522,0.000000,6.000000,36.466320,10.485694,2.672875,0.000000,18.000000,11.972126,31.938744,0.638424,0.000000,18.000000,50.123436,7.628660,0.962655,0.000000,18.000000,33.241409,11.502963,0.670919,0.000000,5.000000,47.695805,8.016945
11.000000,1.765084,0.000000,15.000000,18.129446,33.128841,0.764205,0.000000,8.000000,41.873558,14.343360,0.863953,0.000000,7.000000,37.039055,16.215521,2.692954,0.000000,15.000000,11.882864,50.544003,0.631893,0.000000,15.000000,50.641510,11.859984,0.956453,0.000000,15.000000,33.456951,17.951651,0.666165,0.000000,7.000000,48.036171,12.503236
