Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 470, 100, 101, 0.145421, 0.990099, 2570, 25.445545, 1.257588
1.000000, -5.020600, 1.260419, 352, 100, 100, 0.110000, 1.000000, 2478, 24.780001, 1.291364
2.000000, -4.020600, 1.123350, 306, 100, 102, 0.093750, 0.980392, 2331, 22.852942, 1.400257
3.000000, -3.020600, 1.001187, 236, 100, 108, 0.068287, 0.925926, 2411, 22.324074, 1.433430
4.000000, -2.020600, 0.892308, 214, 100, 129, 0.051841, 0.775194, 2742, 21.255814, 1.505471
5.000000, -1.020600, 0.795271, 154, 100, 159, 0.030267, 0.628931, 3418, 21.496855, 1.488590
6.000000, -0.020600, 0.708786, 126, 100, 208, 0.018930, 0.480769, 4222, 20.298077, 1.576504
7.000000, 0.979400, 0.631706, 114, 100, 375, 0.009500, 0.266667, 7510, 20.026667, 1.597870
8.000000, 1.979400, 0.563009, 109, 100, 816, 0.004174, 0.122549, 16348, 20.034313, 1.597260
9.000000, 2.979400, 0.501782, 103, 100, 2143, 0.001502, 0.046664, 42947, 20.040598, 1.596759
10.000000, 3.979400, 0.447214, 101, 100, 6532, 0.000483, 0.015309, 130839, 20.030466, 1.597566
11.000000, 4.979400, 0.398580, 100, 100, 30726, 0.000102, 0.003255, 614636, 20.003775, 1.599698
