Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.138614,2.000000,10.000000,14.962962,848.871643,1.346535,1.000000,2.000000,95.058830,534.474670,1.534653,1.000000,3.000000,83.406456,609.143982,10.811881,2.000000,10.000000,11.838828,4291.517578,0.891089,2.000000,10.000000,143.644455,353.696503,1.475248,1.000000,10.000000,21.691275,585.564209,1.059406,1.000000,3.000000,30.205608,420.505829
1.000000,2.080000,2.000000,3.000000,15.384616,839.386597,1.500000,1.000000,2.000000,85.333336,605.326843,1.470000,1.000000,2.000000,87.074829,593.220337,10.400000,2.000000,3.000000,12.307693,4196.933105,0.780000,2.000000,3.000000,164.102570,314.769958,1.560000,1.000000,3.000000,20.512821,629.539917,1.050000,0.000000,2.000000,30.476192,423.728760
2.000000,1.980392,1.000000,2.000000,16.158417,883.912476,1.343137,1.000000,2.000000,95.299271,599.485168,1.421569,1.000000,2.000000,90.041382,634.491577,9.627451,1.000000,10.000000,13.295316,4297.040039,0.764706,1.000000,2.000000,167.384613,341.312744,1.441176,1.000000,2.000000,22.204082,643.243225,0.892157,0.000000,2.000000,35.868134,398.198181
3.000000,1.898148,1.000000,2.000000,16.858536,918.291199,1.379630,1.000000,2.000000,92.778526,667.440918,1.398148,1.000000,2.000000,91.549667,676.399841,9.425926,1.000000,2.000000,13.579567,4560.099609,0.740741,1.000000,2.000000,172.800003,358.357513,1.379630,1.000000,2.000000,23.194632,667.440918,0.898148,0.000000,1.000000,35.628868,434.508484
4.000000,1.868217,1.000000,2.000000,17.128630,1133.807495,1.372093,1.000000,2.000000,93.288132,832.713379,1.372093,1.000000,2.000000,93.288132,832.713379,9.077519,1.000000,10.000000,14.100768,5509.081055,0.728682,1.000000,2.000000,175.659576,442.231964,1.341085,1.000000,2.000000,23.861271,813.895020,0.775194,0.000000,1.000000,41.279999,470.459534
5.000000,1.805031,1.000000,2.000000,17.728224,1335.078979,1.251572,1.000000,2.000000,102.271355,925.716797,1.283019,1.000000,2.000000,99.764709,948.975952,9.119497,1.000000,9.000000,14.035861,6745.172363,0.716981,1.000000,2.000000,178.526321,530.310120,1.308176,1.000000,2.000000,24.461536,967.583374,0.798742,0.000000,1.000000,40.062992,590.784058
6.000000,1.740385,1.000000,2.000000,18.386742,1783.420044,1.250000,1.000000,2.000000,102.400002,1280.909546,1.283654,1.000000,2.000000,99.715355,1315.395630,8.653846,1.000000,2.000000,14.791112,8867.834961,0.677885,1.000000,2.000000,188.822693,694.647156,1.211538,1.000000,2.000000,26.412699,1241.496948,0.716346,0.000000,1.000000,44.671143,734.059692
7.000000,1.717333,1.000000,2.000000,18.633541,3215.712646,1.234667,1.000000,2.000000,103.671700,2311.917480,1.229333,1.000000,2.000000,104.121483,2301.930664,8.565333,1.000000,2.000000,14.943960,16038.615234,0.682667,1.000000,2.000000,187.500000,1278.295532,1.189333,1.000000,2.000000,26.905830,2227.030762,0.682667,0.000000,2.000000,46.875000,1278.295532
8.000000,1.718137,1.000000,2.000000,18.624821,6997.993652,1.186275,1.000000,2.000000,107.900826,4831.710938,1.212010,1.000000,2.000000,105.609711,4936.530762,8.552696,1.000000,2.000000,14.966041,34835.238281,0.671569,0.000000,2.000000,190.598541,2735.307129,1.171569,1.000000,2.000000,27.313807,4771.813477,0.691176,0.000000,2.000000,46.297871,2815.170166
9.000000,1.721419,1.000000,2.000000,18.589319,18407.634766,1.203920,1.000000,3.000000,106.319374,12873.867188,1.225852,1.000000,2.000000,104.417206,13108.391602,8.566962,1.000000,2.000000,14.941119,91609.039062,0.664489,0.000000,2.000000,192.629211,7105.576660,1.201587,1.000000,2.000000,26.631454,12848.917969,0.711153,0.000000,3.000000,44.997375,7604.563965
10.000000,1.723362,1.000000,3.000000,18.568357,56199.394531,1.199939,0.000000,2.000000,106.672112,39130.394531,1.229333,1.000000,2.000000,104.121536,40088.933594,8.578996,1.000000,3.000000,14.920161,279763.843750,0.674372,1.000000,3.000000,189.806137,21991.500000,1.187845,1.000000,3.000000,26.939552,38735.996094,0.706828,0.000000,2.000000,45.272686,23049.888672
11.000000,1.702825,1.000000,3.000000,18.792301,261555.640625,1.197390,0.000000,3.000000,106.899185,183920.296875,1.221344,0.000000,2.000000,104.802620,187599.609375,8.571991,1.000000,3.000000,14.932354,1316666.500000,0.678513,1.000000,3.000000,188.647736,104220.320312,1.191857,1.000000,3.000000,26.848856,183070.453125,0.700384,0.000000,3.000000,45.689220,107579.687500
