Eb/No, Es/No, Sigma, # Bit Errors, # Frame Errors, # Simulated frames, BER, FER, Time for this SNR, Average time for one frame
0.000000, -6.020600, 1.414214, 461, 100, 100, 0.144063, 1.000000, 0.001816, 0.000018
1.000000, -5.020600, 1.260419, 369, 100, 103, 0.111954, 0.970874, 0.001697, 0.000016
2.000000, -4.020600, 1.123350, 300, 100, 103, 0.091019, 0.970874, 0.001650, 0.000016
3.000000, -3.020600, 1.001187, 232, 100, 109, 0.066514, 0.917431, 0.001687, 0.000015
4.000000, -2.020600, 0.892308, 192, 100, 132, 0.045455, 0.757576, 0.001957, 0.000015
5.000000, -1.020600, 0.795271, 139, 100, 145, 0.029957, 0.689655, 0.002134, 0.000015
6.000000, -0.020600, 0.708786, 134, 100, 230, 0.018207, 0.434783, 0.003222, 0.000014
7.000000, 0.979400, 0.631706, 115, 100, 350, 0.010268, 0.285714, 0.004733, 0.000014
8.000000, 1.979400, 0.563009, 105, 100, 967, 0.003393, 0.103413, 0.012061, 0.000012
9.000000, 2.979400, 0.501782, 102, 100, 1910, 0.001669, 0.052356, 0.020591, 0.000011
10.000000, 3.979400, 0.447214, 100, 100, 6229, 0.000502, 0.016054, 0.065253, 0.000010
11.000000, 4.979400, 0.398580, 100, 100, 31686, 0.000099, 0.003156, 0.329515, 0.000010
12.000000, 5.979400, 0.355234, 100, 100, 192912, 0.000016, 0.000518, 2.002440, 0.000010
