Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -6.020600, 1.414214, 800, 100, 100, 0.250000, 1.000000, 2657.999756, 26.579998, 1.203913
1.000000, -5.020600, 1.260419, 629, 100, 100, 0.196562, 1.000000, 2479.000000, 24.790001, 1.290843
2.000000, -4.020600, 1.123350, 507, 100, 101, 0.156869, 0.990099, 2339.000000, 23.158417, 1.381787
3.000000, -3.020600, 1.001187, 390, 100, 105, 0.116071, 0.952381, 2307.000000, 21.971428, 1.456437
4.000000, -2.020600, 0.892308, 289, 100, 106, 0.085200, 0.943396, 2263.000000, 21.349056, 1.498895
5.000000, -1.020600, 0.795271, 217, 100, 121, 0.056043, 0.826446, 2547.000000, 21.049587, 1.520220
6.000000, -0.020600, 0.708786, 159, 100, 152, 0.032689, 0.657895, 3085.000000, 20.296053, 1.576661
7.000000, 0.979400, 0.631706, 126, 100, 215, 0.018314, 0.465116, 4229.000000, 19.669767, 1.626862
8.000000, 1.979400, 0.563009, 109, 100, 441, 0.007724, 0.226757, 8647.999023, 19.609976, 1.631823
9.000000, 2.979400, 0.501782, 108, 100, 1294, 0.002608, 0.077280, 25474.000000, 19.686245, 1.625501
10.000000, 3.979400, 0.447214, 102, 100, 3420, 0.000932, 0.029240, 67223.000000, 19.655848, 1.628014
