gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.970000,0.000000,4.000000,32.989689,4.862155,1.540000,1.000000,2.000000,83.116882,7.719298,1.620000,0.000000,4.000000,79.012344,8.120300,11.460000,0.000000,12.000000,11.169285,57.443607,0.810000,0.000000,4.000000,158.024689,4.060150,2.340000,0.000000,4.000000,13.675214,11.729322,1.210000,0.000000,4.000000,26.446280,6.065163
0.920000,0.000000,1.000000,34.782608,4.779221,1.470000,1.000000,2.000000,87.074829,7.636364,1.600000,0.000000,1.000000,80.000000,8.311688,11.040000,0.000000,12.000000,11.594203,57.350651,0.790000,0.000000,1.000000,162.025314,4.103896,2.310000,0.000000,2.000000,13.852814,12.000000,1.120000,0.000000,1.000000,28.571428,5.818182
0.881188,0.000000,1.000000,36.314610,4.944444,1.396040,1.000000,4.000000,91.687943,7.833333,1.415842,0.000000,1.000000,90.405594,7.944444,10.326733,0.000000,11.000000,12.395015,57.944439,0.762376,0.000000,1.000000,167.896103,4.277778,2.029703,0.000000,2.000000,15.765854,11.388888,1.009901,0.000000,1.000000,31.686274,5.666667
0.866667,0.000000,1.000000,36.923077,5.089485,1.314286,1.000000,2.000000,97.391304,7.718121,1.371429,0.000000,1.000000,93.333328,8.053692,9.952381,0.000000,10.000000,12.861244,58.445187,0.695238,0.000000,1.000000,184.109589,4.082774,1.885714,0.000000,2.000000,16.969696,11.073825,0.942857,0.000000,1.000000,33.939392,5.536912
0.773585,0.000000,1.000000,41.365852,4.619718,1.386792,1.000000,2.000000,92.299324,8.281690,1.462264,0.000000,1.000000,87.535484,8.732395,9.830189,0.000000,10.000000,13.021113,58.704224,0.660377,0.000000,1.000000,193.828568,3.943662,1.688679,0.000000,1.000000,18.949720,10.084507,0.943396,0.000000,1.000000,33.920002,5.633803
0.809917,0.000000,1.000000,39.510204,4.924623,1.338843,1.000000,2.000000,95.604935,8.140703,1.371901,0.000000,1.000000,93.301208,8.341708,9.719008,0.000000,9.000000,13.170068,59.095474,0.685950,0.000000,1.000000,186.602417,4.170854,1.619835,0.000000,1.000000,19.755102,9.849245,0.900826,0.000000,1.000000,35.522934,5.477386
0.769737,0.000000,1.000000,41.572651,4.930468,1.269737,1.000000,2.000000,100.808289,8.133164,1.236842,0.000000,1.000000,103.489357,7.922462,9.361842,0.000000,9.000000,13.672523,59.966286,0.657895,0.000000,1.000000,194.559998,4.214075,1.506579,0.000000,2.000000,21.240175,9.650232,0.809211,0.000000,1.000000,39.544716,5.183312
0.758140,0.000000,1.000000,42.208588,4.995403,1.227907,1.000000,2.000000,104.242424,8.090714,1.316279,0.000000,1.000000,97.243820,8.672999,9.125582,0.000000,10.000000,14.026503,60.128716,0.632558,0.000000,1.000000,202.352936,4.167944,1.339535,0.000000,1.000000,23.888889,8.826234,0.776744,0.000000,1.000000,41.197605,5.117989
0.791383,0.000000,3.000000,40.435532,5.212067,1.206349,1.000000,2.000000,106.105263,7.945042,1.272109,0.000000,3.000000,100.620323,8.378136,9.181406,0.000000,9.000000,13.941220,60.468937,0.637188,0.000000,3.000000,200.882568,4.196535,1.310658,0.000000,3.000000,24.415224,8.632019,0.784580,0.000000,3.000000,40.786129,5.167264
0.786708,0.000000,1.000000,40.675835,5.172239,1.230294,1.000000,4.000000,104.040207,8.088609,1.279753,0.000000,1.000000,100.019325,8.413779,9.175425,0.000000,9.000000,13.950308,60.324150,0.657651,0.000000,1.000000,194.632187,4.323747,1.289799,0.000000,2.000000,24.810066,8.479829,0.790572,0.000000,1.000000,40.477028,5.197643
0.770468,0.000000,2.000000,41.533207,5.074627,1.228655,0.000000,2.000000,104.178963,8.092442,1.283041,0.000000,2.000000,99.762993,8.450650,9.171345,0.000000,9.000000,13.956513,60.406353,0.667836,0.000000,2.000000,191.663757,4.398652,1.261988,0.000000,2.000000,25.356812,8.311988,0.799415,0.000000,2.000000,40.029259,5.265286
