gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000001,-nan,-nan,50.181816,0.000004,0.000001,-nan,-nan,105.772453,0.000008,0.000001,-nan,-nan,103.298248,0.000008,0.000009,-nan,-nan,13.789226,0.000059,0.000001,-nan,-nan,183.999985,0.000004,0.000002,-nan,-nan,16.539326,0.000012,0.000001,-nan,-nan,37.109245,0.000005
0.000001,-nan,-nan,47.494740,0.000004,0.000001,-nan,-nan,103.724136,0.000008,0.000001,-nan,-nan,99.164833,0.000008,0.000009,-nan,-nan,13.808722,0.000058,0.000001,-nan,-nan,200.533325,0.000004,0.000002,-nan,-nan,16.407272,0.000012,0.000001,-nan,-nan,38.237289,0.000005
0.000001,-nan,-nan,50.031750,0.000004,0.000001,-nan,-nan,105.066673,0.000008,0.000001,-nan,-nan,98.500000,0.000008,0.000009,-nan,-nan,13.893113,0.000059,0.000001,-nan,-nan,188.179123,0.000004,0.000002,-nan,-nan,17.318682,0.000012,0.000001,-nan,-nan,38.674847,0.000005
0.000001,-nan,-nan,48.605408,0.000004,0.000001,-nan,-nan,108.012024,0.000008,0.000001,-nan,-nan,100.189415,0.000008,0.000009,-nan,-nan,13.849826,0.000059,0.000001,-nan,-nan,186.362701,0.000004,0.000002,-nan,-nan,18.502058,0.000011,0.000001,-nan,-nan,38.758621,0.000005
0.000001,-nan,-nan,51.777775,0.000004,0.000001,-nan,-nan,103.376083,0.000008,0.000001,-nan,-nan,98.105263,0.000008,0.000009,-nan,-nan,13.884543,0.000059,0.000001,-nan,-nan,193.035599,0.000004,0.000002,-nan,-nan,19.191765,0.000011,0.000001,-nan,-nan,39.871655,0.000005
0.000001,-nan,-nan,51.768887,0.000004,0.000001,-nan,-nan,107.108047,0.000008,0.000001,-nan,-nan,99.026566,0.000008,0.000009,-nan,-nan,13.933014,0.000060,0.000001,-nan,-nan,192.131958,0.000004,0.000002,-nan,-nan,20.707554,0.000010,0.000001,-nan,-nan,41.674416,0.000005
0.000001,-nan,-nan,51.262135,0.000004,0.000001,-nan,-nan,105.456192,0.000008,0.000001,-nan,-nan,99.197258,0.000008,0.000009,-nan,-nan,13.936412,0.000060,0.000001,-nan,-nan,196.714645,0.000004,0.000001,-nan,-nan,21.535038,0.000010,0.000001,-nan,-nan,40.389427,0.000005
0.000001,-nan,-nan,50.615498,0.000004,0.000001,-nan,-nan,105.038353,0.000008,0.000001,-nan,-nan,99.899712,0.000008,0.000009,-nan,-nan,13.901568,0.000061,0.000001,-nan,-nan,190.927597,0.000004,0.000001,-nan,-nan,22.540276,0.000009,0.000001,-nan,-nan,40.636803,0.000005
0.000001,-nan,-nan,49.642494,0.000004,0.000001,-nan,-nan,104.642715,0.000008,0.000001,-nan,-nan,100.047173,0.000008,0.000009,-nan,-nan,13.906740,0.000061,0.000001,-nan,-nan,191.905228,0.000004,0.000001,-nan,-nan,23.564589,0.000009,0.000001,-nan,-nan,41.171906,0.000005
0.000001,-nan,-nan,49.819431,0.000004,0.000001,-nan,-nan,104.657928,0.000008,0.000001,-nan,-nan,99.343376,0.000009,0.000009,-nan,-nan,13.907706,0.000061,0.000001,-nan,-nan,193.375473,0.000004,0.000001,-nan,-nan,24.386347,0.000009,0.000001,-nan,-nan,40.937187,0.000005
0.000001,-nan,-nan,49.847248,0.000004,0.000001,-nan,-nan,104.301437,0.000008,0.000001,-nan,-nan,99.191071,0.000009,0.000009,-nan,-nan,13.899700,0.000061,0.000001,-nan,-nan,192.710876,0.000004,0.000001,-nan,-nan,24.984240,0.000008,0.000001,-nan,-nan,41.215706,0.000005
0.000001,-nan,-nan,50.882801,0.000005,0.000001,-nan,-nan,105.503448,0.000010,0.000001,-nan,-nan,100.254158,0.000011,0.000009,-nan,-nan,13.934148,0.000076,0.000001,-nan,-nan,196.343109,0.000005,0.000001,-nan,-nan,25.646177,0.000010,0.000001,-nan,-nan,41.783566,0.000006
