gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.760870,0.000000,1.000000,42.057144,3.981798,1.434783,1.000000,2.000000,89.212120,7.508532,1.521739,0.000000,2.000000,84.114288,7.963595,11.202899,0.000000,10.000000,11.425614,58.627232,0.659420,0.000000,1.000000,194.109879,3.450891,2.543478,0.000000,3.000000,12.581197,13.310580,0.985507,0.000000,1.000000,32.470589,5.157376
0.758865,0.000000,1.000000,42.168224,4.048429,1.460993,1.000000,2.000000,87.611649,7.794173,1.524823,0.000000,2.000000,83.944183,8.134696,10.978724,0.000000,9.000000,11.658915,58.569805,0.780142,0.000000,1.000000,164.072723,4.161937,2.241135,0.000000,2.000000,14.278481,11.956110,1.000000,0.000000,1.000000,32.000000,5.334847
0.817259,0.000000,1.000000,39.155277,4.344306,1.492386,1.000000,7.000000,85.768707,7.933081,1.467005,0.000000,1.000000,87.252594,7.798165,11.005076,0.000000,10.000000,11.630996,58.499733,0.807107,0.000000,1.000000,158.591187,4.290340,2.238579,0.000000,2.000000,14.294784,11.899623,0.984772,0.000000,1.000000,32.494846,5.234754
0.754448,0.000000,5.000000,42.415092,4.266452,1.370107,0.000000,2.000000,93.423370,7.748038,1.427046,0.000000,5.000000,89.695755,8.070035,10.505338,0.000000,10.000000,12.184282,59.408333,0.733096,0.000000,5.000000,174.601944,4.145703,1.978648,0.000000,5.000000,16.172661,11.189375,0.914591,0.000000,5.000000,34.988327,5.172067
0.590129,0.000000,2.000000,54.225452,3.718226,1.251073,1.000000,2.000000,102.312172,7.882639,1.291845,0.000000,2.000000,99.083061,8.139534,9.564378,0.000000,9.000000,13.382993,60.262306,0.648069,0.000000,2.000000,197.509933,4.083289,1.744635,0.000000,2.000000,18.341944,10.992428,0.781116,0.000000,2.000000,40.967033,4.921579
0.598901,0.000000,1.000000,53.431194,3.951781,1.185440,1.000000,2.000000,107.976822,7.821989,1.273352,0.000000,2.000000,100.522110,8.402066,9.107142,0.000000,8.000000,14.054903,60.092445,0.649725,0.000000,1.000000,197.006348,4.287138,1.548077,0.000000,2.000000,20.670809,10.214810,0.792582,0.000000,1.000000,40.374352,5.229765
0.640220,0.000000,2.000000,49.982788,4.237319,1.210468,1.000000,3.000000,105.744202,8.011523,1.273278,0.000000,2.000000,100.527908,8.427233,9.154270,0.000000,10.000000,13.982546,60.587830,0.628099,0.000000,2.000000,203.789459,4.157094,1.441873,0.000000,2.000000,22.193350,9.543085,0.760882,0.000000,2.000000,42.056480,5.035919
0.632891,0.000000,1.000000,50.561592,4.209315,1.210739,1.000000,2.000000,105.720543,8.052538,1.264660,0.000000,2.000000,101.213005,8.411160,9.146934,0.000000,10.000000,13.993761,60.835590,0.646821,0.000000,1.000000,197.890930,4.301959,1.389575,0.000000,1.000000,23.028618,9.241964,0.743878,0.000000,1.000000,43.017818,4.947477
0.621948,0.000000,2.000000,51.451256,4.156765,1.199012,0.000000,4.000000,106.754524,8.013555,1.260796,0.000000,2.000000,101.523201,8.426480,9.132785,0.000000,9.000000,14.015440,61.038628,0.651797,0.000000,2.000000,196.380157,4.356261,1.338326,0.000000,2.000000,23.910460,8.944654,0.757641,0.000000,2.000000,42.236385,5.063663
0.626712,0.000000,3.000000,51.060123,4.201649,1.203662,0.000000,4.000000,106.342110,8.069680,1.263991,0.000000,3.000000,101.266541,8.474139,9.137411,0.000000,10.000000,14.008345,61.259686,0.643201,0.000000,3.000000,199.004517,4.312197,1.286285,0.000000,3.000000,24.877838,8.623607,0.754600,0.000000,3.000000,42.406574,5.059043
0.623323,0.000000,8.000000,51.337788,4.185786,1.201438,0.000000,7.000000,106.538963,8.067996,1.263987,0.000000,8.000000,101.266891,8.488025,9.138135,0.000000,10.000000,14.007235,61.365135,0.645050,0.000000,8.000000,198.434082,4.331694,1.259536,0.000000,8.000000,25.406183,8.458137,0.759943,0.000000,8.000000,42.108402,5.103233
