Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.920000,0.000000,3.000000,34.782608,4.698672,1.450000,1.000000,2.000000,88.275856,7.405516,1.470000,0.000000,3.000000,87.074829,7.507661,11.430000,0.000000,12.000000,11.198600,58.375893,0.800000,0.000000,3.000000,160.000000,4.085802,2.180000,0.000000,3.000000,14.678899,11.133810,1.330000,0.000000,3.000000,24.060150,6.792645
1.000000,0.900000,0.000000,1.000000,35.555557,4.716981,1.450000,1.000000,2.000000,88.275856,7.599581,1.490000,0.000000,1.000000,85.906036,7.809224,10.930000,0.000000,12.000000,11.710887,57.285114,0.840000,0.000000,1.000000,152.380951,4.402516,2.020000,0.000000,2.000000,15.841584,10.587002,1.450000,0.000000,1.000000,22.068964,7.599581
2.000000,0.820000,0.000000,1.000000,39.024391,4.527885,1.400000,1.000000,2.000000,91.428574,7.730536,1.440000,0.000000,1.000000,88.888885,7.951408,10.300000,0.000000,10.000000,12.427184,56.874653,0.780000,0.000000,1.000000,164.102570,4.307013,2.000000,0.000000,2.000000,16.000000,11.043622,1.370000,0.000000,1.000000,23.357664,7.564881
3.000000,0.830000,0.000000,1.000000,38.554218,4.822778,1.220000,1.000000,2.000000,104.918030,7.088902,1.220000,0.000000,1.000000,104.918030,7.088902,9.970000,0.000000,9.000000,12.838515,57.931438,0.730000,0.000000,1.000000,175.342468,4.241720,1.880000,0.000000,2.000000,17.021276,10.923882,1.360000,0.000000,1.000000,23.529411,7.902383
4.000000,0.800000,0.000000,1.000000,40.000000,4.778973,1.270000,1.000000,2.000000,100.787399,7.586619,1.290000,0.000000,1.000000,99.224808,7.706093,9.670000,0.000000,10.000000,13.236814,57.765831,0.660000,0.000000,1.000000,193.939392,3.942652,1.850000,0.000000,2.000000,17.297297,11.051374,1.200000,0.000000,1.000000,26.666666,7.168459
5.000000,0.810000,0.000000,1.000000,39.506172,4.847397,1.290000,1.000000,2.000000,99.224808,7.719929,1.250000,0.000000,2.000000,102.400002,7.480551,9.650000,0.000000,10.000000,13.264249,57.749851,0.670000,0.000000,1.000000,191.044769,4.009575,1.860000,0.000000,2.000000,17.204302,11.131060,1.180000,0.000000,1.000000,27.118645,7.061640
6.000000,0.790000,0.000000,1.000000,40.506329,4.688427,1.330000,1.000000,2.000000,96.240601,7.893175,1.300000,0.000000,2.000000,98.461540,7.715133,9.680000,0.000000,10.000000,13.223140,57.448071,0.710000,0.000000,1.000000,180.281693,4.213650,1.810000,0.000000,1.000000,17.679558,10.741839,1.230000,0.000000,1.000000,26.016260,7.299703
7.000000,0.850000,0.000000,1.000000,37.647057,5.189255,1.350000,1.000000,2.000000,94.814812,8.241758,1.150000,0.000000,2.000000,111.304352,7.020757,9.360000,0.000000,10.000000,13.675214,57.142857,0.700000,0.000000,1.000000,182.857147,4.273504,1.800000,0.000000,2.000000,17.777779,10.989012,1.170000,0.000000,1.000000,27.350428,7.142857
8.000000,0.790000,0.000000,2.000000,40.506329,5.012690,1.180000,1.000000,2.000000,108.474579,7.487309,1.140000,0.000000,2.000000,112.280701,7.233502,9.150000,0.000000,10.000000,13.989072,58.058372,0.690000,0.000000,2.000000,185.507248,4.378172,1.700000,0.000000,2.000000,18.823528,10.786802,1.110000,0.000000,2.000000,28.828829,7.043147
9.000000,0.770000,0.000000,1.000000,41.558441,4.901337,1.170000,1.000000,2.000000,109.401711,7.447485,1.180000,0.000000,1.000000,108.474579,7.511139,9.110000,0.000000,10.000000,14.050494,57.988537,0.670000,0.000000,1.000000,191.044769,4.264800,1.700000,0.000000,1.000000,18.823528,10.821133,1.110000,0.000000,1.000000,28.828829,7.065563
