Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -6.020600, 1.414214, 280, 100, 110, 0.079545, 0.909091, 2750.000244, 25.000002, 1.280000
1.000000, -5.020600, 1.260419, 218, 100, 118, 0.057733, 0.847458, 2803.000000, 23.754238, 1.347128
2.000000, -4.020600, 1.123350, 177, 100, 152, 0.036390, 0.657895, 3327.000000, 21.888159, 1.461978
3.000000, -3.020600, 1.001187, 146, 100, 198, 0.023043, 0.505050, 4122.000000, 20.818182, 1.537118
4.000000, -2.020600, 0.892308, 118, 100, 264, 0.013968, 0.378788, 5308.000488, 20.106062, 1.591560
5.000000, -1.020600, 0.795271, 106, 100, 545, 0.006078, 0.183486, 10554.000000, 19.365137, 1.652454
6.000000, -0.020600, 0.708786, 102, 100, 1138, 0.002801, 0.087873, 22156.000000, 19.469244, 1.643618
7.000000, 0.979400, 0.631706, 101, 100, 3746, 0.000843, 0.026695, 72738.000000, 19.417513, 1.647997
8.000000, 1.979400, 0.563009, 100, 100, 14306, 0.000218, 0.006990, 276317.000000, 19.314762, 1.656764
9.000000, 2.979400, 0.501782, 100, 100, 91365, 0.000034, 0.001095, 1781746.000000, 19.501406, 1.640907
