Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.170000,2.000000,5.000000,14.746543,10.478030,1.440000,1.000000,2.000000,88.888885,6.953163,1.330000,2.000000,5.000000,96.240601,6.422019,11.390000,2.000000,11.000000,11.237927,54.997589,0.860000,1.000000,5.000000,148.837204,4.152584,2.120000,2.000000,5.000000,15.094340,10.236600,1.400000,2.000000,5.000000,22.857143,6.760020
1.000000,2.150000,2.000000,3.000000,14.883720,10.585919,1.470000,1.000000,2.000000,87.074829,7.237814,1.460000,2.000000,3.000000,87.671234,7.188577,10.990000,2.000000,12.000000,11.646952,54.111279,0.810000,1.000000,3.000000,158.024689,3.988183,2.080000,2.000000,3.000000,15.384616,10.241261,1.350000,1.000000,3.000000,23.703703,6.646972
2.000000,2.060000,1.000000,4.000000,15.533981,10.762801,1.390000,1.000000,2.000000,92.086334,7.262278,1.350000,1.000000,4.000000,94.814812,7.053292,10.350000,1.000000,9.000000,12.367149,54.075237,0.740000,1.000000,4.000000,172.972977,3.866249,1.990000,1.000000,4.000000,16.080402,10.397075,1.260000,1.000000,4.000000,25.396826,6.583072
3.000000,2.050000,1.000000,3.000000,15.609756,10.721757,1.410000,1.000000,2.000000,90.780144,7.374476,1.390000,1.000000,3.000000,92.086334,7.269874,10.330000,1.000000,9.000000,12.391094,54.027195,0.790000,1.000000,3.000000,162.025314,4.131799,1.930000,1.000000,3.000000,16.580311,10.094142,1.220000,1.000000,3.000000,26.229507,6.380753
4.000000,1.960000,1.000000,2.000000,16.326530,10.600325,1.330000,1.000000,2.000000,96.240601,7.193078,1.290000,1.000000,2.000000,99.224808,6.976744,10.150000,1.000000,10.000000,12.610838,54.894535,0.600000,1.000000,2.000000,213.333328,3.244998,1.950000,1.000000,2.000000,16.410255,10.546242,1.210000,1.000000,2.000000,26.446280,6.544078
5.000000,1.950000,1.000000,2.000000,16.410255,10.912143,1.290000,1.000000,2.000000,99.224808,7.218802,1.250000,1.000000,2.000000,102.400002,6.994963,9.640000,1.000000,10.000000,13.278008,53.945160,0.640000,1.000000,2.000000,200.000000,3.581421,1.850000,1.000000,2.000000,17.297297,10.352546,1.250000,1.000000,2.000000,25.600000,6.994963
6.000000,1.840000,1.000000,2.000000,17.391304,10.672854,1.270000,1.000000,2.000000,100.787399,7.366590,1.180000,1.000000,2.000000,108.474579,6.844547,9.440000,1.000000,9.000000,13.559322,54.756378,0.600000,1.000000,2.000000,213.333328,3.480279,1.740000,1.000000,2.000000,18.390804,10.092808,1.170000,1.000000,2.000000,27.350428,6.786542
7.000000,1.820000,1.000000,2.000000,17.582417,10.705882,1.220000,1.000000,2.000000,104.918030,7.176471,1.240000,1.000000,2.000000,103.225807,7.294117,9.220000,1.000000,10.000000,13.882863,54.235294,0.620000,1.000000,2.000000,206.451614,3.647059,1.720000,1.000000,2.000000,18.604650,10.117647,1.160000,1.000000,2.000000,27.586208,6.823529
8.000000,1.770000,1.000000,2.000000,18.079096,10.504451,1.170000,1.000000,2.000000,109.401711,6.943620,1.240000,1.000000,2.000000,103.225807,7.359050,9.160000,1.000000,10.000000,13.973800,54.362015,0.620000,0.000000,2.000000,206.451614,3.679525,1.690000,1.000000,2.000000,18.934910,10.029674,1.200000,1.000000,2.000000,26.666666,7.121662
9.000000,1.790000,1.000000,2.000000,17.877096,10.572948,1.180000,1.000000,2.000000,108.474579,6.969875,1.220000,1.000000,2.000000,104.918030,7.206143,9.200000,1.000000,10.000000,13.913044,54.341404,0.640000,1.000000,2.000000,200.000000,3.780272,1.740000,1.000000,2.000000,18.390804,10.277614,1.160000,1.000000,2.000000,27.586208,6.851742
10.000000,1.690000,1.000000,2.000000,18.934910,10.193004,1.220000,1.000000,2.000000,104.918030,7.358263,1.100000,1.000000,2.000000,116.363632,6.634500,9.110000,1.000000,9.000000,14.050494,54.945713,0.660000,1.000000,2.000000,193.939392,3.980700,1.700000,1.000000,2.000000,18.823528,10.253317,1.100000,1.000000,2.000000,29.090908,6.634500
