Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 276, 100, 108, 0.079861, 0.925926, 2885.000000, 26.712963, 1.197920
1.000000, -3.771213, 1.091555, 202, 100, 112, 0.056362, 0.892857, 2691.000000, 24.026785, 1.331847
2.000000, -2.771213, 0.972849, 172, 100, 139, 0.038669, 0.719424, 3281.999756, 23.611509, 1.355271
3.000000, -1.771213, 0.867053, 139, 100, 193, 0.022506, 0.518135, 4248.000000, 22.010363, 1.453861
4.000000, -0.771213, 0.772762, 122, 100, 306, 0.012459, 0.326797, 6459.000000, 21.107843, 1.516024
5.000000, 0.228787, 0.688725, 110, 100, 506, 0.006793, 0.197628, 10648.000977, 21.043480, 1.520661
6.000000, 1.228787, 0.613826, 103, 100, 1295, 0.002486, 0.077220, 27262.000000, 21.051737, 1.520065
7.000000, 2.228787, 0.547073, 101, 100, 4260, 0.000741, 0.023474, 90140.000000, 21.159624, 1.512314
8.000000, 3.228787, 0.487580, 100, 100, 14246, 0.000219, 0.007020, 299839.000000, 21.047241, 1.520389
9.000000, 4.228787, 0.434556, 100, 100, 86135, 0.000036, 0.001161, 1814426.000000, 21.064909, 1.519114
