Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.079208,0.000000,3.000000,15.390476,9.799347,1.207921,0.000000,2.000000,79.475410,5.692954,2.455446,0.000000,3.000000,39.096775,11.572562,8.534654,0.000000,7.000000,11.248260,40.223988,0.772277,0.000000,3.000000,124.307693,3.639757,5.108911,0.000000,4.000000,6.263566,24.078396,1.059406,0.000000,3.000000,30.205608,4.993001
1.000000,2.056604,2.000000,3.000000,15.559634,10.177404,1.235849,1.000000,2.000000,77.679390,6.115780,2.386792,2.000000,3.000000,40.221344,11.811392,8.056603,2.000000,8.000000,11.915691,39.869282,0.688679,1.000000,3.000000,139.397263,3.408030,4.792453,2.000000,5.000000,6.677166,23.716154,0.990566,1.000000,3.000000,32.304764,4.901961
2.000000,1.946903,1.000000,5.000000,16.436363,10.218300,1.194690,1.000000,2.000000,80.355560,6.270320,2.247788,1.000000,5.000000,42.708660,11.797493,7.513274,1.000000,7.000000,12.777386,39.433350,0.707965,0.000000,5.000000,135.600006,3.715746,4.513274,1.000000,5.000000,7.090196,23.687878,0.929204,1.000000,5.000000,34.438095,4.876916
3.000000,1.928000,1.000000,2.000000,16.597511,10.242245,1.128000,0.000000,2.000000,85.106384,5.992351,2.216000,1.000000,3.000000,43.321297,11.772206,7.488000,1.000000,7.000000,12.820513,39.779007,0.744000,1.000000,2.000000,129.032257,3.952401,4.416000,1.000000,5.000000,7.246377,23.459414,0.904000,0.000000,2.000000,35.398232,4.802380
4.000000,1.846626,1.000000,2.000000,17.328903,10.053441,1.085890,1.000000,2.000000,88.406776,5.911824,2.134969,1.000000,2.000000,44.965519,11.623246,7.368098,1.000000,8.000000,13.029142,40.113564,0.687117,0.000000,2.000000,139.714279,3.740815,4.343558,1.000000,4.000000,7.367231,23.647297,0.901841,1.000000,2.000000,35.482994,4.909820
5.000000,1.838583,1.000000,2.000000,17.404711,10.311326,1.082677,1.000000,2.000000,88.669098,6.071980,2.137795,1.000000,2.000000,44.906078,11.989401,7.129921,1.000000,6.000000,13.464384,39.986752,0.704724,0.000000,2.000000,136.223465,3.952307,4.137795,1.000000,4.000000,7.733587,23.206005,0.799213,1.000000,2.000000,40.039410,4.482225
6.000000,1.800000,1.000000,2.000000,17.777779,10.177333,1.065909,1.000000,2.000000,90.063965,6.026729,2.134091,1.000000,2.000000,44.984024,12.066307,7.145454,1.000000,8.000000,13.435115,40.400925,0.640909,1.000000,2.000000,149.787231,3.623747,4.079545,1.000000,4.000000,7.844011,23.066051,0.820455,1.000000,2.000000,39.002769,4.638910
7.000000,1.788145,1.000000,2.000000,17.895641,10.156493,1.076839,1.000000,2.000000,89.149849,6.116341,2.159166,1.000000,2.000000,44.461613,12.263857,7.100988,1.000000,6.000000,13.519246,40.332939,0.657519,0.000000,2.000000,146.003342,3.734647,4.045005,1.000000,4.000000,7.910991,22.975245,0.778266,1.000000,2.000000,41.117065,4.420475
8.000000,1.800316,1.000000,2.000000,17.774658,10.260751,1.076461,1.000000,2.000000,89.181099,6.135201,2.119115,1.000000,2.000000,45.301922,12.077721,7.125434,1.000000,8.000000,13.472863,40.610817,0.655292,1.000000,2.000000,146.499512,3.734784,3.982306,1.000000,4.000000,8.035544,22.696823,0.786730,1.000000,2.000000,40.674698,4.483901
9.000000,1.798849,1.000000,6.000000,17.789148,10.251078,1.084309,0.000000,3.000000,88.535675,6.179134,2.122396,1.000000,6.000000,45.231888,12.094871,7.137175,1.000000,8.000000,13.450700,40.672516,0.661079,0.000000,6.000000,145.217102,3.767282,3.958639,1.000000,6.000000,8.083586,22.559040,0.785459,1.000000,6.000000,40.740498,4.476085
