Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -4.771213, 1.224745, 1623, 100, 100, 0.507187, 1.000000, 2297.999756, 22.979998, 1.392515
1.000000, -3.771213, 1.091555, 1623, 100, 100, 0.507187, 1.000000, 2159.000000, 21.590000, 1.482168
2.000000, -2.771213, 0.972849, 1570, 100, 100, 0.490625, 1.000000, 2003.000122, 20.030001, 1.597603
3.000000, -1.771213, 0.867053, 1575, 100, 100, 0.492188, 1.000000, 1990.000000, 19.900000, 1.608040
4.000000, -0.771213, 0.772762, 1591, 100, 100, 0.497187, 1.000000, 1992.999878, 19.929998, 1.605620
5.000000, 0.228787, 0.688725, 1602, 100, 100, 0.500625, 1.000000, 1920.999878, 19.209999, 1.665799
6.000000, 1.228787, 0.613826, 1600, 100, 100, 0.500000, 1.000000, 1872.999878, 18.730000, 1.708489
7.000000, 2.228787, 0.547073, 1593, 100, 100, 0.497813, 1.000000, 1802.000000, 18.020000, 1.775805
8.000000, 3.228787, 0.487580, 1589, 100, 100, 0.496563, 1.000000, 1771.000122, 17.710001, 1.806889
9.000000, 4.228787, 0.434556, 1544, 100, 100, 0.482500, 1.000000, 1770.000000, 17.700001, 1.807910
