Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -4.771213, 1.224745, 275, 100, 105, 0.081845, 0.952381, 2595.000000, 24.714285, 1.294798
1.000000, -3.771213, 1.091555, 200, 100, 114, 0.054825, 0.877193, 2613.000000, 22.921053, 1.396096
2.000000, -2.771213, 0.972849, 182, 100, 143, 0.039773, 0.699301, 3129.999756, 21.888111, 1.461981
3.000000, -1.771213, 0.867053, 133, 100, 184, 0.022588, 0.543478, 3863.000000, 20.994566, 1.524204
4.000000, -0.771213, 0.772762, 121, 100, 284, 0.013314, 0.352113, 5559.000000, 19.573944, 1.634826
5.000000, 0.228787, 0.688725, 117, 100, 658, 0.005557, 0.151976, 12674.000000, 19.261398, 1.661354
6.000000, 1.228787, 0.613826, 105, 100, 1553, 0.002113, 0.064392, 29973.000000, 19.300064, 1.658026
7.000000, 2.228787, 0.547073, 100, 100, 4082, 0.000766, 0.024498, 78708.000000, 19.281725, 1.659603
8.000000, 3.228787, 0.487580, 100, 100, 14386, 0.000217, 0.006951, 276407.000000, 19.213610, 1.665486
9.000000, 4.228787, 0.434556, 100, 100, 114401, 0.000027, 0.000874, 2182141.000000, 19.074492, 1.677633
