gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
2.188679,2.000000,7.000000,14.620689,11.782630,1.349057,1.000000,2.000000,71.160843,7.262569,2.547170,2.000000,7.000000,37.688889,13.712545,8.716981,2.000000,7.000000,11.012987,46.927376,0.820755,1.000000,7.000000,116.965515,4.418487,1.896226,2.000000,7.000000,16.875622,10.208227,1.056604,1.000000,7.000000,30.285713,5.688167
2.060869,1.000000,3.000000,15.527427,11.634756,1.269565,1.000000,2.000000,75.616440,7.167403,2.452174,1.000000,3.000000,39.148937,13.843888,8.295652,1.000000,9.000000,11.572327,46.833580,0.773913,0.000000,3.000000,124.044945,4.369170,1.852174,1.000000,3.000000,17.276995,10.456554,1.008696,1.000000,3.000000,31.724140,5.694649
1.965753,1.000000,5.000000,16.278746,11.796137,1.143836,0.000000,2.000000,83.928139,6.863955,2.308219,1.000000,5.000000,41.590504,13.851213,7.835617,1.000000,9.000000,12.251748,47.020142,0.719178,1.000000,5.000000,133.485718,4.315660,1.773973,1.000000,5.000000,18.038610,10.645294,0.917808,1.000000,5.000000,34.865669,5.507604
1.872222,1.000000,2.000000,17.091988,11.588720,1.150000,1.000000,3.000000,83.478264,7.118294,2.222222,1.000000,2.000000,43.199997,13.755158,7.577778,1.000000,8.000000,12.668622,46.905090,0.716667,0.000000,2.000000,133.953491,4.436038,1.738889,1.000000,2.000000,18.402555,10.763411,0.877778,1.000000,2.000000,36.455696,5.433288
1.736334,1.000000,4.000000,18.429628,11.523687,1.041801,1.000000,2.000000,92.148148,6.914212,2.102894,1.000000,4.000000,45.651379,13.956466,7.102894,1.000000,8.000000,13.515618,47.140419,0.688103,1.000000,4.000000,139.514023,4.566794,1.553055,1.000000,4.000000,20.604555,10.307299,0.842444,1.000000,4.000000,37.984734,5.591122
1.730132,1.000000,2.000000,18.495693,11.578947,1.067881,1.000000,2.000000,89.897675,7.146814,2.099338,1.000000,2.000000,45.728706,14.049862,7.014901,1.000000,6.000000,13.685155,46.947369,0.647351,1.000000,2.000000,148.296677,4.332410,1.602649,1.000000,2.000000,19.966942,10.725761,0.779801,1.000000,2.000000,41.036095,5.218837
1.719745,1.000000,2.000000,18.607407,11.534629,1.075018,1.000000,2.000000,89.300858,7.210329,2.073602,1.000000,3.000000,46.296246,13.908008,7.025478,1.000000,7.000000,13.664551,47.121094,0.660297,0.000000,2.000000,145.389069,4.428728,1.593064,1.000000,2.000000,20.087072,10.684958,0.762208,1.000000,2.000000,41.983288,5.112261
1.736192,1.000000,6.000000,18.431137,11.577959,1.084037,1.000000,2.000000,88.557838,7.229003,2.091835,1.000000,6.000000,45.892731,13.949592,7.035954,1.000000,7.000000,13.644205,46.919910,0.650856,0.000000,6.000000,147.498169,4.340291,1.623998,1.000000,6.000000,19.704454,10.829782,0.772796,1.000000,6.000000,41.408070,5.153463
1.738850,1.000000,4.000000,18.402969,11.583625,1.084713,0.000000,3.000000,88.502716,7.225985,2.093857,1.000000,4.000000,45.848404,13.948562,7.057055,1.000000,6.000000,13.603409,47.011688,0.652230,0.000000,4.000000,147.187332,4.344934,1.609986,1.000000,4.000000,19.875950,10.725177,0.774586,1.000000,4.000000,41.312378,5.160029
1.736554,0.000000,6.000000,18.427303,11.605138,1.076161,0.000000,6.000000,89.205971,7.191830,2.090956,0.000000,6.000000,45.912018,13.973557,7.035040,0.000000,6.000000,13.645977,47.014160,0.654225,0.000000,6.000000,146.738541,4.372090,1.598920,0.000000,6.000000,20.013515,10.685349,0.771807,0.000000,6.000000,41.461143,5.157875
