Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -4.771213, 1.224745, 286, 100, 111, 0.080518, 0.900901, 2462.000244, 22.180182, 1.442729
1.000000, -3.771213, 1.091555, 194, 100, 116, 0.052263, 0.862069, 2417.000000, 20.836206, 1.535788
2.000000, -2.771213, 0.972849, 173, 100, 128, 0.042236, 0.781250, 2513.000000, 19.632812, 1.629924
3.000000, -1.771213, 0.867053, 138, 100, 184, 0.023438, 0.543478, 3405.000000, 18.505434, 1.729222
4.000000, -0.771213, 0.772762, 113, 100, 269, 0.013127, 0.371747, 4833.000000, 17.966543, 1.781088
5.000000, 0.228787, 0.688725, 110, 100, 645, 0.005329, 0.155039, 10916.000000, 16.924030, 1.890803
6.000000, 1.228787, 0.613826, 104, 100, 1308, 0.002485, 0.076453, 22031.998047, 16.844036, 1.899782
7.000000, 2.228787, 0.547073, 100, 100, 4371, 0.000715, 0.022878, 74441.000000, 17.030657, 1.878965
8.000000, 3.228787, 0.487580, 100, 100, 18037, 0.000173, 0.005544, 307117.000000, 17.027056, 1.879362
9.000000, 4.228787, 0.434556, 100, 100, 100812, 0.000031, 0.000992, 1705602.000000, 16.918640, 1.891405
