Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.245455,2.000000,6.000000,14.251012,14.897467,1.190909,1.000000,2.000000,53.740456,7.901086,1.909091,2.000000,6.000000,33.523811,12.665862,6.163636,2.000000,6.000000,10.383481,40.892643,0.745455,1.000000,6.000000,85.853661,4.945718,1.790909,2.000000,6.000000,17.868021,11.881785,1.027273,1.000000,6.000000,31.150444,6.815440
1.000000,2.114035,2.000000,3.000000,15.136930,14.405260,1.157895,1.000000,2.000000,55.272728,7.890018,1.859649,2.000000,3.000000,34.415092,12.671847,5.991228,2.000000,6.000000,10.682284,40.824863,0.736842,1.000000,3.000000,86.857147,5.020920,1.771930,1.000000,3.000000,18.059406,12.074119,1.043860,1.000000,3.000000,30.655464,7.112970
2.000000,2.013333,1.000000,3.000000,15.894040,14.575289,1.106667,1.000000,2.000000,57.831326,8.011583,1.726667,1.000000,3.000000,37.065636,12.500000,5.693333,1.000000,7.000000,11.241219,41.216213,0.700000,0.000000,3.000000,91.428574,5.067567,1.666667,1.000000,3.000000,19.200001,12.065637,0.906667,1.000000,3.000000,35.294117,6.563707
3.000000,1.953488,1.000000,3.000000,16.380953,14.939973,1.034884,0.000000,3.000000,61.842697,7.914629,1.627907,1.000000,3.000000,39.314285,12.449978,5.290698,1.000000,5.000000,12.096704,40.462425,0.697674,0.000000,3.000000,91.733337,5.335705,1.534884,1.000000,3.000000,20.848484,11.738550,0.936047,1.000000,3.000000,34.186333,7.158737
4.000000,1.873646,1.000000,2.000000,17.078999,14.807418,0.974729,0.000000,1.000000,65.659256,7.703281,1.599278,1.000000,2.000000,40.018059,12.639087,5.209386,1.000000,6.000000,12.285516,41.169758,0.718412,1.000000,2.000000,89.085426,5.677603,1.490975,1.000000,2.000000,21.462469,11.783167,0.787004,0.000000,2.000000,40.660549,6.219686
5.000000,1.784232,1.000000,11.000000,17.934883,14.961725,0.921162,0.000000,1.000000,69.477478,7.724426,1.529046,1.000000,11.000000,41.856171,12.821852,4.921162,1.000000,11.000000,13.005059,41.266525,0.576764,0.000000,11.000000,110.964027,4.836465,1.419087,1.000000,11.000000,22.549707,11.899792,0.773859,1.000000,11.000000,41.351208,6.489213
6.000000,1.765625,1.000000,3.000000,18.123894,14.818284,0.913690,0.000000,2.000000,70.045609,7.668290,1.523810,1.000000,3.000000,42.000000,12.788810,4.906994,1.000000,4.000000,13.042608,41.182716,0.617560,0.000000,3.000000,103.633728,5.182965,1.424107,1.000000,3.000000,22.470219,11.952043,0.763393,1.000000,3.000000,41.918129,6.406894
7.000000,1.750653,1.000000,4.000000,18.278896,14.696535,0.910705,0.000000,3.000000,70.275230,7.645267,1.518799,1.000000,4.000000,42.138561,12.750149,4.917755,1.000000,4.000000,13.014070,41.284000,0.622193,1.000000,4.000000,102.861938,5.223243,1.431332,1.000000,4.000000,22.356804,12.015870,0.760574,1.000000,4.000000,42.073463,6.384938
8.000000,1.759640,1.000000,4.000000,18.185543,14.709521,0.910978,0.000000,3.000000,70.254196,7.615222,1.519115,1.000000,4.000000,42.129787,12.698883,4.935390,1.000000,5.000000,12.967566,41.256878,0.633807,1.000000,4.000000,100.977165,5.298240,1.435445,1.000000,4.000000,22.292738,11.999453,0.768214,1.000000,4.000000,41.655052,6.421805
9.000000,1.767875,0.000000,6.000000,18.100824,14.790743,0.917534,0.000000,4.000000,69.752182,7.676453,1.509868,0.000000,6.000000,42.387821,12.632151,4.929271,0.000000,6.000000,12.983665,41.240227,0.632042,0.000000,6.000000,101.259132,5.287911,1.434047,0.000000,6.000000,22.314466,11.997808,0.761941,0.000000,6.000000,41.997974,6.374704
