Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, 0.000000, 0.707107, 1608, 100, 100, 0.502500, 1.000000, 1758.000000, 17.580000, 1.820250
1.000000, 1.000000, 0.630210, 1557, 100, 100, 0.486562, 1.000000, 1684.000000, 16.840000, 1.900238
2.000000, 2.000000, 0.561675, 1626, 100, 100, 0.508125, 1.000000, 1678.000000, 16.780001, 1.907032
3.000000, 3.000000, 0.500593, 1599, 100, 100, 0.499687, 1.000000, 1635.000122, 16.350000, 1.957186
4.000000, 4.000000, 0.446154, 1604, 100, 100, 0.501250, 1.000000, 1546.000000, 15.460000, 2.069858
5.000000, 5.000000, 0.397635, 1662, 100, 100, 0.519375, 1.000000, 1542.000000, 15.420000, 2.075227
6.000000, 6.000000, 0.354393, 1610, 100, 100, 0.503125, 1.000000, 1543.000122, 15.430001, 2.073882
7.000000, 7.000000, 0.315853, 1609, 100, 100, 0.502813, 1.000000, 1492.000000, 14.920000, 2.144772
8.000000, 8.000000, 0.281504, 1570, 100, 100, 0.490625, 1.000000, 1454.000000, 14.540000, 2.200825
9.000000, 9.000000, 0.250891, 1637, 100, 100, 0.511563, 1.000000, 1444.999878, 14.449999, 2.214533
