Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.963964,0.000000,3.000000,33.196262,9.981343,0.936937,0.000000,1.000000,34.153847,9.701492,0.954955,0.000000,3.000000,33.509434,9.888060,3.801802,0.000000,3.000000,8.417062,39.365673,0.774775,0.000000,3.000000,41.302326,8.022388,1.171171,0.000000,3.000000,27.323076,12.126866,1.054054,0.000000,3.000000,30.358974,10.914179
1.000000,0.950413,0.000000,1.000000,33.669563,10.388436,0.975207,0.000000,1.000000,32.813560,10.659439,0.958678,0.000000,1.000000,33.379311,10.478771,3.363636,0.000000,3.000000,9.513514,36.766029,0.760331,0.000000,1.000000,42.086956,8.310749,1.082645,0.000000,1.000000,29.557253,11.833784,1.057851,0.000000,1.000000,30.250002,11.562781
2.000000,0.906475,0.000000,1.000000,35.301586,10.088070,0.942446,0.000000,1.000000,33.954197,10.488390,0.942446,0.000000,1.000000,33.954197,10.488390,3.345324,0.000000,3.000000,9.565591,37.229782,0.776978,0.000000,1.000000,41.185184,8.646917,1.079137,0.000000,1.000000,29.653332,12.009607,0.992806,0.000000,1.000000,32.231884,11.048839
3.000000,0.849462,0.000000,4.000000,37.670883,10.102303,0.897849,0.000000,1.000000,35.640720,10.677750,0.865591,0.000000,4.000000,36.968945,10.294119,3.177419,0.000000,4.000000,10.071066,37.787727,0.736559,0.000000,4.000000,43.445255,8.759591,1.000000,0.000000,4.000000,32.000000,11.892584,0.881720,0.000000,4.000000,36.292683,10.485934
4.000000,0.789157,0.000000,1.000000,40.549618,9.700111,0.879518,0.000000,1.000000,36.383560,10.810812,0.810241,0.000000,1.000000,39.494423,9.959275,3.117470,0.000000,3.000000,10.264734,38.319141,0.692771,0.000000,1.000000,46.191303,8.515365,0.975904,0.000000,1.000000,32.790123,11.995558,0.870482,0.000000,1.000000,36.761246,10.699740
5.000000,0.750000,0.000000,1.000000,42.666668,10.086527,0.794118,0.000000,1.000000,40.296299,10.679852,0.737132,0.000000,1.000000,43.411469,9.913473,2.829044,0.000000,2.000000,11.311241,38.046974,0.626838,0.000000,1.000000,51.049854,8.430161,0.893382,0.000000,1.000000,35.818928,12.014832,0.805147,0.000000,1.000000,39.744293,10.828182
6.000000,0.758488,0.000000,1.000000,42.189217,10.398815,0.775463,0.000000,1.000000,41.265671,10.631545,0.749228,0.000000,1.000000,42.710606,10.271872,2.773148,0.000000,3.000000,11.539232,38.019676,0.633488,0.000000,1.000000,50.514008,8.685073,0.843364,0.000000,1.000000,37.943275,11.562467,0.760802,0.000000,1.000000,42.060852,10.430551
7.000000,0.759721,0.000000,2.000000,42.120720,10.389467,0.779029,0.000000,1.000000,41.076763,10.653514,0.753017,0.000000,2.000000,42.495728,10.297785,2.778493,0.000000,3.000000,11.517035,37.996922,0.631805,0.000000,2.000000,50.648556,8.640164,0.853044,0.000000,2.000000,37.512730,11.665689,0.757308,0.000000,2.000000,42.254959,10.356462
8.000000,0.750823,0.000000,2.000000,42.619915,10.277627,0.760464,0.000000,3.000000,42.079563,10.409604,0.762947,0.000000,2.000000,41.942638,10.443585,2.775475,0.000000,2.000000,11.529559,37.992050,0.634952,0.000000,2.000000,50.397530,8.691529,0.863172,0.000000,2.000000,37.072571,11.815516,0.757577,0.000000,2.000000,42.239902,10.370090
9.000000,0.753622,0.000000,22.000000,42.461601,10.338346,0.771274,0.000000,3.000000,41.489792,10.580501,0.753485,0.000000,22.000000,42.469299,10.336471,2.773630,0.000000,22.000000,11.537228,38.049236,0.624708,0.000000,22.000000,51.223904,8.569880,0.855289,0.000000,22.000000,37.414238,11.733038,0.757571,0.000000,22.000000,42.240250,10.392522
