Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 774, 100, 101, 0.239480, 0.990099, 58731.000000, 581.495056, 0.055031
1.000000, -23.082401, 10.083356, 620, 100, 100, 0.193750, 1.000000, 57906.000000, 579.059998, 0.055262
2.000000, -22.082401, 8.986799, 521, 100, 102, 0.159620, 0.980392, 59095.000000, 579.362732, 0.055233
3.000000, -21.082401, 8.009494, 355, 100, 102, 0.108762, 0.980392, 59044.000000, 578.862732, 0.055281
4.000000, -20.082401, 7.138470, 226, 100, 112, 0.063058, 0.892857, 64825.000000, 578.794617, 0.055287
5.000000, -19.082401, 6.362167, 167, 100, 142, 0.036752, 0.704225, 82217.000000, 578.992981, 0.055268
6.000000, -18.082401, 5.670288, 130, 100, 223, 0.018217, 0.448430, 129055.000000, 578.721985, 0.055294
7.000000, -17.082401, 5.053649, 110, 100, 634, 0.005422, 0.157729, 366829.000000, 578.594666, 0.055306
8.000000, -16.082401, 4.504069, 107, 100, 1949, 0.001716, 0.051308, 1127177.000000, 578.336060, 0.055331
9.000000, -15.082401, 4.014256, 101, 100, 10412, 0.000303, 0.009604, 6024544.000000, 578.615417, 0.055304
10.000000, -14.082401, 3.577709, 100, 100, 69570, 0.000045, 0.001437, 40263460.000000, 578.747437, 0.055292
